Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein family LH,AOA conserved,AOA exclusive,Conserved,Conserved LH,Rank TPM
NMAR_RS01415,Nmar_0266,DUF1059 domain-containing protein,0.4,0.435181454,19.95008735,14.8276877,4.05,3.621369527,76G-FAM004520_0,Thaumi_prot_LH_FAM000922,N,N,NV+NF+NM,NV+NF+NM,903
NMAR_RS02875,Nmar_0538,HIT domain-containing protein,0.4,0.030703991,56.62355663,60.58447803,5.8,5.910182575,76G-FAM002338,Thaumi_prot_LH_FAM000283,N,N,NV+NF+NM,NV+NF+NM,495
NMAR_RS06090,Nmar_1135,fused MFS/spermidine synthase,0.4,0.114097233,8.014550349,8.540973915,2.93,3.083731617,76G-FAM001303,Thaumi_prot_LH_FAM002048,N,N,NF+NM,NF+NM,1408
NMAR_RS08645,Nmar_1617,riboflavin synthase,0.4,0.037383224,29.97693076,32.06497692,4.85,4.994412338,76G-FAM007616,Thaumi_prot_LH_FAM000981,Y,Y,NV+NF+NM,NV+NF+NM,738
NMAR_RS09060,Nmar_1694,hypothetical protein,0.4,0.141889441,21.74506209,22.72180315,4.26,4.494014759,76G-FAM008569,Thaumi_prot_LH_FAM002146,N,Y,NM,NM,865
NMAR_RS06970,Nmar_1302,DNA primase DnaG,0.4,0.000183394,346.5981609,370.8145637,8.4,8.531518532,76G-FAM000044,Thaumi_prot_LH_FAM000088,Y,N,NV+NF+NM,NV+NF+NM,116
NMAR_RS03275,Nmar_0612,hypothetical protein,0.4,0.210150169,9.325742301,11.07461735,3.16,3.441731795,76G-FAM028441,Thaumi_prot_LH_FAM006558,N,Y,NM,NM,1342
NMAR_RS07935,Nmar_1482,aconitate hydratase,0.4,0.000217353,139.9021755,151.9458459,7.11,7.241747707,76G-FAM000207,Thaumi_prot_LH_FAM000044,N,N,NV+NF+NM,NV+NF+NM,250
NMAR_RS00335,Nmar_0065,DNA primase,0.4,0.079909224,19.0707062,19.88087886,4.16,4.285271489,76G-FAM000588,Thaumi_prot_LH_FAM001104,Y,N,NV+NF+NM,NV+NF+NM,930
NMAR_RS01085,Nmar_0209,zinc-ribbon domain-containing protein,0.4,0.025056448,243.3028383,259.5249442,7.86,7.976041194,76G-FAM007507,Thaumi_prot_LH_FAM000016,Y,Y,NV+NF+NM,NV+NF+NM,158
NMAR_RS02655,Nmar_0496,Fe-S cluster assembly protein SufD,0.39,0.027178035,89.32701492,92.75579391,6.4,6.508173467,76G-FAM001513,Thaumi_prot_LH_FAM000738,N,N,NV+NF+NM,NV+NF+NM,352
NMAR_RS08395,Nmar_1567,prephenate dehydratase,0.39,0.117439562,11.01451498,11.42273666,3.39,3.503610184,76G-FAM000686,Thaumi_prot_LH_FAM001169,N,N,NV+NF+NM,NV+NF+NM,1256
NMAR_RS07080,Nmar_R0032,tRNA-Met,0.39,0.106780717,108.2943538,122.0216478,6.74,6.906529764,#N/A,#N/A,#N/A,#N/A,NA,NA,299
NMAR_RS07155,0,hypothetical protein,0.39,0.419120561,10.77883479,11.1623176,3.15,3.474376157,#N/A,Thaumi_prot_LH_FAM002093,#N/A,#N/A,NA,NM,1268
NMAR_RS02195,Nmar_0409,FAD-dependent oxidoreductase,0.39,0.080204501,11.97723358,12.16756706,3.54,3.57806883,76G-FAM002447,Thaumi_prot_LH_FAM000197,N,N,NV+NF+NM,NV+NF+NM,1207
NMAR_RS07375,Nmar_1376,hypothetical protein,0.39,0.386836973,2.826065391,3.191234855,1.48,1.577816391,76G-FAM028489,Thaumi_prot_LH_FAM006613,N,Y,NM,NM,1758
NMAR_RS02855,Nmar_0534,30S ribosomal protein S27ae,0.39,0.519566931,17.6925603,18.65509856,4.06,3.906170727,76G-FAM000792,Thaumi_prot_LH_FAM000279,Y,N,NV+NF+NM,NV+NF+NM,973
NMAR_RS07100,Nmar_1327,hypothetical protein,0.39,0.233820572,22.76078034,26.21773365,4.49,4.68312928,76G-FAM008558,Thaumi_prot_LH_FAM002088,N,Y,NM,NF+NM,843
NMAR_RS07165,Nmar_1338,transcriptional regulator,0.38,0.009390155,62.64838804,67.30457783,5.93,6.063689566,76G-FAM007384,Thaumi_prot_LH_FAM001538,N,Y,NV+NF+NM,NV+NF+NM,457
NMAR_RS03960,Nmar_0740,tetratricopeptide repeat protein,0.38,0.218890585,121.4570932,127.6978916,6.9,6.911745951,76G-FAM008316,Thaumi_prot_LH_FAM001022,N,Y,NM,NM,274
NMAR_RS02525,Nmar_0470,hypothetical protein,0.38,0.144272874,20.30310979,21.81612474,4.25,4.407703837,76G-FAM007916,Thaumi_prot_LH_FAM000611,Y,Y,NV+NF+NM,NV+NF+NM,895
NMAR_RS05055,Nmar_0942,peptidylprolyl isomerase,0.38,0.514244998,8.295985923,8.651417787,2.98,3.061517612,76G-FAM004892,Thaumi_prot_LH_FAM000633,N,N,NV+NF+NM,NV+NF+NM,1394
NMAR_RS07370,Nmar_1375,hypothetical protein,0.38,0.64961213,1.236100222,1.13469988,0.3,0.083373419,76G-FAM028488,Thaumi_prot_LH_FAM006612,N,Y,NM,NM,1892
NMAR_RS03705,Nmar_0691,NAD(P)H-hydrate dehydratase,0.38,0.0411453,73.31238301,77.67197844,6.08,6.267728137,76G-FAM000249,Thaumi_prot_LH_FAM000153,Y,N,NV+NF+NM,NV+NF+NM,406
NMAR_RS09105,Nmar_1703,hypothetical protein,0.38,0.025788258,70.51212358,73.4344385,6.06,6.191277422,76G-FAM008137,Thaumi_prot_LH_FAM000848,N,Y,NM,NM,413
NMAR_RS06295,Nmar_1171,hypothetical protein,0.38,0.054376142,33.11128433,34.57762932,5.02,5.100531246,76G-FAM004890,Thaumi_prot_LH_FAM000694,N,N,NV+NF+NM,NM,696
NMAR_RS07530,Nmar_1406,Hsp20/alpha crystallin family protein,0.38,0.098034602,85.0826514,90.56737442,6.29,6.49132557,76G-FAM007577,Thaumi_prot_LH_FAM001745,N,Y,NV+NM,NV+NM,363
NMAR_RS09080,Nmar_1698,ammonium transporter,0.38,0.133572375,15713.87784,18297.20393,13.94,14.15478392,76G-FAM001711,Thaumi_prot_LH_FAM000351,Y,N,NV+NF+NM,NV+NF+NM,10
NMAR_RS09230,Nmar_1727,beta-CASP ribonuclease aCPSF1,0.38,0.005535339,96.64124321,105.0459196,6.54,6.701249618,76G-FAM000321,Thaumi_prot_LH_FAM000855,Y,N,NV+NF+NM,NV+NF+NM,329
NMAR_RS02970,Nmar_0555,menaquinone biosynthesis decarboxylase,0.38,0.037412361,44.38629788,47.96871028,5.41,5.554487329,76G-FAM002003,Thaumi_prot_LH_FAM000116,Y,N,NV+NF+NM,NV+NF+NM,574
NMAR_RS06710,Nmar_1250,Kazal-type serine protease inhibitor domain-containing protein,0.37,0.03350616,152.3863219,141.8563672,7.21,7.133111789,76G-FAM002825_0,Thaumi_prot_LH_FAM000003_0,Y,N,NV+NF+NM,NV+NF+NM,229
NMAR_RS05080,Nmar_0947,dCMP deaminase family protein,0.37,0.093534564,31.69712867,34.56992084,4.93,5.069035228,76G-FAM002769,Thaumi_prot_LH_FAM000631,N,N,NV+NF+NM,NV+NF+NM,709
NMAR_RS00430,Nmar_0083,cobalt-precorrin-5B (C(1))-methyltransferase,0.37,0.266826472,5.988906744,6.867853322,2.56,2.74596019,76G-FAM005621,Thaumi_prot_LH_FAM001114,N,Y,NV+NF+NM,NV+NF+NM,1529
NMAR_RS06060,Nmar_1130,divalent cation transporter,0.37,0.632397291,1.950227209,1.71607449,0.65,0.707780084,76G-FAM007716,Thaumi_prot_LH_FAM000877,N,Y,NV+NF+NM,NV+NF+NM,1829
NMAR_RS04475,Nmar_0837,resolvase,0.37,0.094258564,31.86932158,34.9084028,4.91,5.106568169,76G-FAM007809,Thaumi_prot_LH_FAM000382,Y,Y,NV+NF+NM,NV+NF+NM,708
NMAR_RS09115,Nmar_1705,UMP kinase,0.36,0.019540621,70.31767783,76.63352155,6.11,6.259141085,76G-FAM000034,Thaumi_prot_LH_FAM000847,Y,N,NV+NF+NM,NV+NF+NM,417
NMAR_RS06185,Nmar_1151,hypothetical protein,0.36,0.386626835,18.3910688,20.1545133,4.15,4.279814365,76G-FAM008913,Thaumi_prot_LH_FAM002055,N,Y,NM,NF+NM,953
NMAR_RS02115,Nmar_0394,superoxide dismutase,0.36,0.009562937,1467.770888,1603.60429,10.46,10.63653922,76G-FAM000589,Thaumi_prot_LH_FAM000213,Y,N,NV+NF+NM,NV+NF+NM,41
NMAR_RS08565,Nmar_1601,hypothetical protein,0.36,0.087580715,464.968838,473.9628582,8.74,8.871094996,76G-FAM007581,Thaumi_prot_LH_FAM000976,N,Y,NV+NM,NV+NM,89
NMAR_RS08060,Nmar_1502,methane monooxygenase/ammonia monooxygenase subunit C,0.36,0.022253873,45916.61097,50834.97265,15.45,15.62797608,76G-FAM007583,Thaumi_prot_LH_FAM000259,N,Y,NV+NF+NM,NV+NF+NM,4
NMAR_RS02530,Nmar_0471,beta-propeller domain-containing protein,0.36,0.003612543,55.54293348,61.76923369,5.76,5.941762731,76G-FAM005116,Thaumi_prot_LH_FAM001883,N,Y,NV+NM,NV+NM,499
NMAR_RS02865,Nmar_0536,DUF309 domain-containing protein,0.35,0.237166581,30.76250693,31.12138395,4.93,4.910372733,76G-FAM001469,Thaumi_prot_LH_FAM000281,N,N,NV+NF+NM,NV+NF+NM,725
NMAR_RS05000,Nmar_0934,transcriptional regulator,0.35,0.048694839,269.6208716,297.3296274,8,8.201439935,76G-FAM000658,Thaumi_prot_LH_FAM000183,Y,N,NV+NF+NM,NV+NF+NM,144
NMAR_RS01565,Nmar_0294,class I SAM-dependent methyltransferase family protein,0.35,0.39249104,11.82278049,11.55403527,3.45,3.502789259,76G-FAM000358,Thaumi_prot_LH_FAM000946,N,N,NV+NF+NM,NV+NF+NM,1211
NMAR_RS09575,Nmar_1793,serine hydroxymethyltransferase,0.35,0.022812056,142.2000347,155.6485917,7.12,7.270460671,76G-FAM000543,Thaumi_prot_LH_FAM001047,N,N,NV+NF+NM,NV+NF+NM,245
NMAR_RS03520,Nmar_0658,proline--tRNA ligase,0.35,0.060519784,29.85341942,31.90878308,4.87,4.981149662,76G-FAM000154,Thaumi_prot_LH_FAM000241,N,N,NV+NF+NM,NV+NF+NM,742
NMAR_RS08300,Nmar_1549,threonine synthase,0.35,0.009664004,75.68585703,82.56872924,6.19,6.355061206,76G-FAM000062_0,Thaumi_prot_LH_FAM001188,Y,N,NV+NF+NM,NV+NF+NM,397
NMAR_RS08275,Nmar_1544,twin-arginine translocation signal domain-containing protein,0.35,0.006876245,446.2809793,493.6207286,8.75,8.944859989,76G-FAM001204,Thaumi_prot_LH_FAM000001,Y,N,NV+NF+NM,NV+NF+NM,91
NMAR_RS00715,Nmar_0138,holo-ACP synthase,0.35,0.846588833,0.993292941,1.548064617,#NUM!,0.457128093,76G-FAM002600,Thaumi_prot_LH_FAM001831,N,N,NM,NM,1912
NMAR_RS01295,Nmar_0245,acyltransferase,0.35,0.157907469,14.12518816,16.168186,3.78,4.003281527,76G-FAM000459,Thaumi_prot_LH_FAM000959,N,N,NV+NF+NM,NV+NF+NM,1102
NMAR_RS09665,0,hypothetical protein,0.35,0.197650643,559.5429293,696.3350342,9.09,9.350530281,#N/A,Thaumi_prot_LH_FAM001881,#N/A,#N/A,NA,NM,76
NMAR_RS02660,Nmar_0497,cysteine desulfurase,0.35,0.012184951,77.92397415,86.28626139,6.24,6.42075179,76G-FAM000890_0,Thaumi_prot_LH_FAM000736,Y,N,NV+NF+NM,NV+NF+NM,388
NMAR_RS08440,Nmar_1576,ROK family protein,0.35,0.155442253,14.01559949,16.11847267,3.79,3.997184863,76G-FAM008121,Thaumi_prot_LH_FAM001161,N,Y,NM,NM,1109
NMAR_RS05050,0,hypothetical protein,0.35,0.637467651,7.921743987,7.094327613,#NUM!,2.790745277,#N/A,Thaumi_prot_LH_FAM000186_0,#N/A,#N/A,NA,NV+NF+NM,1415
NMAR_RS05405,Nmar_1009,hypothetical protein,0.35,0.611428951,4.716557666,6.41094913,2.13,2.660470893,76G-FAM008634,Thaumi_prot_LH_FAM002022,N,Y,NM,NM,1602
NMAR_RS09340,Nmar_1747,tetrahydromethanopterin S-methyltransferase subunit A,0.35,0.687911007,2.554057626,3.275491138,#NUM!,1.640522217,76G-FAM007387,Thaumi_prot_LH_FAM000791,N,Y,NV+NF+NM,NV+NF+NM,1776
NMAR_RS05330,Nmar_0995,peptide-methionine (S)-S-oxide reductase MsrA,0.34,0.054976789,95.00841797,103.4356382,6.5,6.68307723,76G-FAM002527,Thaumi_prot_LH_FAM000717,N,N,NF+NM,NV+NF+NM,334
NMAR_RS05755,Nmar_1074,hypothetical protein,0.34,0.05379606,67.97263088,75.48194038,6.03,6.222857908,76G-FAM028460,Thaumi_prot_LH_FAM002034,N,Y,NM,NM,429
NMAR_RS06810,Nmar_1270,hypothetical protein,0.34,0.344730774,34.20654675,35.63468029,5.09,5.075724913,76G-FAM028482,Thaumi_prot_LH_FAM002078,N,Y,NM,NM,685
NMAR_RS05810,Nmar_1085,carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit,0.34,0.108540408,19.63259971,21.5002128,4.22,4.416720257,76G-FAM000611,Thaumi_prot_LH_FAM000418,N,N,NF+NM,NV+NF+NM,910
NMAR_RS04190,Nmar_0784,phosphoribosylaminoimidazolesuccinocarboxamide synthase,0.34,0.028489307,34.12444945,36.82854119,5.04,5.202120183,76G-FAM002056,Thaumi_prot_LH_FAM000483,N,N,NV+NF+NM,NV+NF+NM,687
NMAR_RS01120,Nmar_0214,amidohydrolase family protein,0.34,0.040855779,32.46463877,34.73686114,4.95,5.116498256,76G-FAM000121,Thaumi_prot_LH_FAM000021,Y,N,NV+NF+NM,NV+NF+NM,702
NMAR_RS06105,0,hypothetical protein,0.34,0.930560746,1.898866133,0,#NUM!,#NUM!,#N/A,Thaumi_prot_LH_FAM000186_0,#N/A,#N/A,NA,NV+NF+NM,1834
NMAR_RS00665,Nmar_0127,carbamoyltransferase,0.34,0.098993464,19.97552606,21.94136127,4.24,4.450781559,76G-FAM003402,Thaumi_prot_LH_FAM001827,N,N,NM,NM,902
NMAR_RS05550,Nmar_1033,30S ribosomal protein S10,0.34,0.028489307,350.0897604,402.4915009,8.41,8.64588508,76G-FAM000359,Thaumi_prot_LH_FAM000264,Y,N,NV+NF+NM,NV+NF+NM,115
NMAR_RS07490,Nmar_1398,AAA family ATPase,0.34,0.037523487,23.47706367,26.16011719,4.48,4.699916819,76G-FAM008088,Thaumi_prot_LH_FAM000434,N,Y,NM,NM,832
NMAR_RS02980,Nmar_0557,hypothetical protein,0.33,0.01566168,180.5871653,198.025151,7.45,7.612883775,76G-FAM008248,Thaumi_prot_LH_FAM000115,N,Y,NV+NF+NM,NV+NF+NM,199
NMAR_RS08410,Nmar_1570,dihydropteroate synthase,0.33,0.521378117,3.887422839,4.64170691,1.9,2.164792558,76G-FAM001919,Thaumi_prot_LH_FAM001165,N,N,NV+NF+NM,NV+NF+NM,1658
NMAR_RS00925,Nmar_0179,hypothetical protein,0.33,0.895442364,0.87057524,1.049007799,#NUM!,#NUM!,76G-FAM008033,Thaumi_prot_LH_FAM001141,N,Y,NV+NF+NM,NV+NF+NM,1920
NMAR_RS06495,Nmar_1207,ATP-binding protein,0.33,0.034106753,19.52212987,22.2771267,4.23,4.473927957,76G-FAM008843,Thaumi_prot_LH_FAM002068,N,Y,NM,NM,914
NMAR_RS01105,Nmar_0212,zinc ribbon domain-containing protein,0.33,0.223055066,170.4059928,189.175768,7.4,7.547845125,76G-FAM007508,Thaumi_prot_LH_FAM000018,Y,Y,NV+NF+NM,NV+NF+NM,208
NMAR_RS08490,Nmar_1586,aspartate-semialdehyde dehydrogenase,0.33,0.015411628,119.1124838,134.2310755,6.84,7.05894601,76G-FAM000487,Thaumi_prot_LH_FAM001153,Y,N,NV+NF+NM,NV+NF+NM,283
NMAR_RS08755,Nmar_1638,hypothetical protein,0.33,0.047300602,89.95088756,102.4394154,6.45,6.665829889,76G-FAM008943,Thaumi_prot_LH_FAM002137,N,Y,NM,NM,348
NMAR_RS06675,Nmar_1243,ATP-binding protein,0.33,0.055779951,15.59384224,17.60984968,3.9,4.136182056,76G-FAM000748,Thaumi_prot_LH_FAM001544,N,N,NV+NF+NM,NV+NF+NM,1049
NMAR_RS02770,Nmar_0518,Gar1/Naf1 family protein,0.33,0.042328255,920.09949,1021.441932,9.79,9.977057072,76G-FAM000278,Thaumi_prot_LH_FAM000777,Y,N,NV+NF+NM,NV+NF+NM,53
NMAR_RS09045,Nmar_1691,V-type ATP synthase subunit A,0.33,0.004338189,375.6083901,421.5387,8.5,8.714339742,76G-FAM000196,Thaumi_prot_LH_FAM000805,Y,N,NV+NF+NM,NV+NF+NM,107
NMAR_RS02395,Nmar_0448,hypothetical protein,0.33,0.844640762,1.983672173,1.175826458,0.73,0.087722209,76G-FAM007978,Thaumi_prot_LH_FAM001282,N,Y,NV+NM,NV+NM,1824
NMAR_RS07635,Nmar_1428,THUMP domain-containing protein,0.32,0.303701344,13.30620719,13.46051684,3.71,3.718131166,76G-FAM000411,Thaumi_prot_LH_FAM000757,Y,N,NV+NF+NM,NV+NF+NM,1138
NMAR_RS00585,Nmar_0111,secondary thiamine-phosphate synthase enzyme YjbQ,0.32,0.412228772,21.02807027,22.41651946,4.38,4.439818701,76G-FAM000259,Thaumi_prot_LH_FAM000564,N,N,NV+NF+NM,NV+NF+NM,881
NMAR_RS09870,0,hypothetical protein,0.32,0.332068585,97.3180906,140.1403245,6.52,7.048052966,#N/A,Thaumi_prot_LH_FAM001852,#N/A,#N/A,NA,NM,326
NMAR_RS09775,Nmar_1141,hypothetical protein,0.32,0.401921111,11.13940831,13.20681744,3.36,3.670690639,76G-FAM008534,Thaumi_prot_LH_FAM001395,N,Y,NM,NM,1247
NMAR_RS01730,Nmar_0325,30S ribosomal protein S13,0.32,0.090805825,271.0430931,316.746807,8.06,8.288299767,76G-FAM000566,Thaumi_prot_LH_FAM000884,N,N,NV+NF+NM,NV+NF+NM,141
NMAR_RS01525,NMAR_1,tRNA-Glu,0.32,0.468423062,55.45616159,61.65639408,5.64,5.881456328,#N/A,#N/A,#N/A,#N/A,NA,NA,500
NMAR_RS05470,Nmar_1017,aminotransferase class III-fold pyridoxal phosphate-dependent enzyme,0.32,0.184415559,22.51204666,24.14113552,4.39,4.586868652,76G-FAM000269_0,Thaumi_prot_LH_FAM000622,Y,N,NV+NF+NM,NV+NF+NM,850
NMAR_RS02930,Nmar_0547,chorismate synthase,0.32,0.021172076,79.05093453,88.53911273,6.25,6.458687298,76G-FAM000664,Thaumi_prot_LH_FAM000126,Y,N,NV+NF+NM,NV+NF+NM,383
NMAR_RS03535,Nmar_0660,PEP-utilizing enzyme,0.32,0.482407309,1.392561404,1.828388233,0.42,0.810114846,76G-FAM028444,Thaumi_prot_LH_FAM001917,N,Y,NM,NM,1880
NMAR_RS01900,Nmar_0357,YkgJ family cysteine cluster protein,0.32,0.225555525,14.08476998,15.39607563,3.71,3.922354897,76G-FAM008213,Thaumi_prot_LH_FAM000290,N,Y,NV+NF+NM,NV+NF+NM,1104
NMAR_RS00380,Nmar_0073,twitching motility protein PilT,0.32,0.81944733,3.02114917,3.682222995,#NUM!,1.760090384,76G-FAM003279,Thaumi_prot_LH_FAM001111,N,N,NV+NM,NM,1741
NMAR_RS02190,Nmar_0408,DM13 domain-containing protein,0.32,0.43922758,9.060312144,8.888910123,3.08,3.128015989,76G-FAM008737,Thaumi_prot_LH_FAM001877,N,Y,NV+NF+NM,NV+NF+NM,1355
NMAR_RS05260,Nmar_0982,CoA-binding protein,0.32,0.142287156,31.92245757,38.79643825,4.98,5.259393935,76G-FAM000245,Thaumi_prot_LH_FAM001404,N,N,NV+NF+NM,NV+NF+NM,707
NMAR_RS00655,0,hypothetical protein,0.31,0.737703726,3.836578754,4.206523297,1.78,1.914512139,#N/A,Thaumi_prot_LH_FAM006532,#N/A,#N/A,NA,NM,1663
NMAR_RS06720,Nmar_1252,redoxin domain-containing protein,0.31,0.054049674,43.9325451,51.25069511,5.41,5.671311071,76G-FAM007707,Thaumi_prot_LH_FAM000519,N,Y,NV+NF+NM,NV+NF+NM,579
NMAR_RS05270,Nmar_0984,biotin--[acetyl-CoA-carboxylase] ligase,0.31,0.36588839,7.209203045,9.051983518,2.72,3.143476951,76G-FAM005346,Thaumi_prot_LH_FAM000726,N,Y,NV+NM,NV+NM,1449
NMAR_RS08375,Nmar_1563,diphthamide biosynthesis enzyme Dph2,0.31,0.354947205,11.9070975,14.18010742,3.53,3.770120693,76G-FAM000645,Thaumi_prot_LH_FAM001171,N,N,NV+NF+NM,NV+NF+NM,1208
NMAR_RS03370,Nmar_0629,class I SAM-dependent methyltransferase,0.31,0.638194834,3.934680045,5.342633928,1.85,2.294197178,76G-FAM008272,Thaumi_prot_LH_FAM000711,N,Y,NM,NM,1653
NMAR_RS04625,Nmar_0866,AMP-binding protein,0.31,0.285522152,9.028668679,10.31970626,3.09,3.359553868,76G-FAM001567_0,Thaumi_prot_LH_FAM001381,N,N,NV+NF+NM,NV+NF+NM,1357
NMAR_RS08655,Nmar_1619,response regulator,0.31,0.64010363,11.22848447,10.43872443,2.84,3.35652264,76G-FAM003595_0,Thaumi_prot_LH_FAM001253_0,N,N,NV+NF+NM,NV+NF+NM,1242
NMAR_RS01600,Nmar_0301,fructose-6-phosphate aldolase,0.31,0.030800524,77.63929719,86.27101978,6.2,6.42482484,76G-FAM001995,Thaumi_prot_LH_FAM000057,Y,N,NV+NF+NM,NV+NF+NM,390
NMAR_RS07740,0,hypothetical protein,0.31,0.488924358,73.6479588,38.26706111,5.92,5.120982274,#N/A,Thaumi_prot_LH_FAM002115,#N/A,#N/A,NA,NM,401
NMAR_RS07015,Nmar_1311,toprim domain-containing protein,0.31,0.594361234,13.10925891,6.638589095,3.57,2.656823969,76G-FAM002663,Thaumi_prot_LH_FAM001737,N,N,NV+NF+NM,NV+NF+NM,1156
NMAR_RS04290,Nmar_0802,ribonuclease P protein subunit,0.31,0.586719045,9.094916886,9.643982428,3.13,3.169147044,76G-FAM000574,Thaumi_prot_LH_FAM000467,N,N,NV+NF+NM,NV+NM,1352
NMAR_RS02300,Nmar_0430,ribosome assembly factor SBDS,0.31,0.123279672,206.3621131,241.8389952,7.65,7.887034262,76G-FAM000512,Thaumi_prot_LH_FAM000853,Y,N,NV+NF+NM,NV+NF+NM,184
NMAR_RS02820,0,tRNA-Tyr,0.31,0.474204217,99.75540142,110.2399335,6.61,6.628571421,#N/A,#N/A,#N/A,#N/A,NA,NA,319
NMAR_RS09550,Nmar_1788,hypothetical protein,0.31,0.332068585,21.69745746,27.31692335,4.4,4.760109107,76G-FAM007527,Thaumi_prot_LH_FAM001052,Y,Y,NV+NF+NM,NV+NF+NM,868
NMAR_RS05990,Nmar_1118,5-formyltetrahydrofolate cyclo-ligase,0.3,0.206029286,21.84892814,22.62260387,4.41,4.449243148,76G-FAM002677,Thaumi_prot_LH_FAM000077,Y,N,NV+NF+NM,NV+NF+NM,863
NMAR_RS04175,Nmar_0781,amidophosphoribosyltransferase,0.3,0.052129129,52.4323326,59.55324393,5.66,5.891481754,76G-FAM002059,Thaumi_prot_LH_FAM001092,Y,N,NV+NF+NM,NV+NF+NM,516
NMAR_RS08820,Nmar_1650,PEFG-CTERM sorting domain-containing protein,0.3,0.059828482,3661.176979,4264.58988,11.82,12.05639894,76G-FAM002825_0,Thaumi_prot_LH_FAM001009,Y,N,NV+NF+NM,NM,26
NMAR_RS06405,Nmar_1191,thioredoxin domain-containing protein,0.3,0.161981555,11.48969213,12.94790063,3.48,3.674557278,76G-FAM001460,Thaumi_prot_LH_FAM000336,Y,N,NV+NF+NM,NV+NF+NM,1229
NMAR_RS00255,Nmar_0049,phosphoadenylyl-sulfate reductase,0.3,0.046828081,59.6360561,67.77984703,5.83,6.078404183,76G-FAM004900,Thaumi_prot_LH_FAM001086,N,N,NV+NF+NM,NV+NF+NM,476
NMAR_RS09790,0,hypothetical protein,0.3,0.862552858,1.815498137,1.76956731,#NUM!,#NUM!,#N/A,Thaumi_prot_LH_FAM006599,#N/A,#N/A,NA,NM,1840
NMAR_RS05320,Nmar_0994,alpha/beta hydrolase,0.3,0.22822598,14.04864814,15.47118166,3.72,3.947000195,76G-FAM003384,Thaumi_prot_LH_FAM000718,N,N,NV+NF+NM,NV+NF+NM,1107
NMAR_RS09110,Nmar_1704,hypothetical protein,0.3,0.446942233,21.14589026,17.92004648,4.35,4.089578833,76G-FAM001126,Thaumi_prot_LH_FAM000139,Y,N,NV+NF+NM,NV+NF+NM,876
NMAR_RS01275,Nmar_0242,minichromosome maintenance protein MCM,0.29,0.015111038,87.92653115,100.8853366,6.41,6.646914872,76G-FAM000132,Thaumi_prot_LH_FAM000962,Y,N,NV+NF+NM,NV+NF+NM,356
NMAR_RS06020,Nmar_1124,CoA-binding protein,0.29,0.064656551,69.76462806,80.76773413,6.1,6.330973506,76G-FAM000941,Thaumi_prot_LH_FAM000072,N,N,NV+NF+NM,NV+NF+NM,421
NMAR_RS07940,Nmar_1483,hypothetical protein,0.29,0.158865087,153.3477552,173.8432872,7.15,7.421130944,76G-FAM008101,Thaumi_prot_LH_FAM000045,N,Y,NM,NM,225
NMAR_RS00130,Nmar_0024,"3'(2'),5'-bisphosphate nucleotidase CysQ",0.29,0.479469185,10.57032906,11.68189261,3.15,3.524808434,76G-FAM008167,Thaumi_prot_LH_FAM001071,N,Y,NM,NM,1276
NMAR_RS05555,Nmar_1034,translation elongation factor EF-1 subunit alpha,0.29,0.025759512,1865.486576,2165.446831,10.84,11.07971832,76G-FAM000351,Thaumi_prot_LH_FAM000263,Y,N,NV+NF+NM,NV+NF+NM,39
NMAR_RS03180,Nmar_0595,glycosyltransferase,0.29,0.310566756,8.943592493,10.232255,3.13,3.32915054,76G-FAM007478,Thaumi_prot_LH_FAM000666,Y,Y,NV+NF+NM,NV+NF+NM,1361
NMAR_RS03585,Nmar_0670,cysteine synthase family protein,0.29,0.050593196,54.0444076,62.44782209,5.7,5.95535958,76G-FAM000726,Thaumi_prot_LH_FAM001388,N,N,NV+NF+NM,NV+NF+NM,508
NMAR_RS03630,Nmar_0678,sulfide-dependent adenosine diphosphate thiazole synthase,0.29,0.030548485,105.9755434,123.7750667,6.69,6.94854039,76G-FAM001758,Thaumi_prot_LH_FAM000234,N,Y,NV+NF+NM,NV+NF+NM,305
NMAR_RS05970,Nmar_1114,phosphoribosylglycinamide formyltransferase,0.28,0.237214724,17.416231,18.38806532,4.09,4.183220863,76G-FAM002054,Thaumi_prot_LH_FAM000079,Y,N,NV+NF+NM,NV+NF+NM,983
NMAR_RS06625,Nmar_1233,GTP-dependent dephospho-CoA kinase family protein,0.28,0.386492798,20.91278613,23.61207296,4.28,4.528231438,76G-FAM000780,Thaumi_prot_LH_FAM000531,Y,N,NV+NF+NM,NV+NF+NM,884
NMAR_RS06310,Nmar_1175,inorganic diphosphatase,0.28,0.510068149,9.854523512,10.77267283,3.2,3.374347121,76G-FAM003111,Thaumi_prot_LH_FAM001526,N,N,NV+NF+NM,NV+NF+NM,1308
NMAR_RS03015,Nmar_0563,hypothetical protein,0.28,0.368623556,10.12275495,10.12695931,3.2,3.329968447,76G-FAM008252,Thaumi_prot_LH_FAM000164,N,Y,NV+NM,NV+NM,1292
NMAR_RS04685,Nmar_0876,helix-turn-helix domain-containing protein,0.28,0.425183882,19.61577054,24.34563986,4.22,4.601838109,76G-FAM008365,Thaumi_prot_LH_FAM000679,N,Y,NV+NF+NM,NV+NF+NM,912
