Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein Family LH,AOA conserved,AOA exclusive,"Conserved NV,NF,NM",Conserved in Soil Strains,up in:,,,,,,,baseMean,lfcSE,stat,pvalue
NVIE_005680,NVIE_RS02785,protein of unknown function,0.35,5.63E-03,179.94,173.84,7.49,7.43,76G-FAM008799,Thaumi_prot_LH_FAM000327,N,Y,,,,,,,,,,4031.713819,0.116812571,3.037093247,0.002388715
NVIE_005690,NVIE_RS02790,putative polyketide cyclase/dehydrase,-0.06,7.44E-01,39.11,49.69,5.27,5.62,76G-FAM009770,Thaumi_prot_LH_FAM002887,N,Y,,,,,,,,,,793.2937236,0.128085767,-0.433299679,0.664797071
NVIE_005700,NVIE_RS02795,hypothetical protein,-0.58,2.34E-09,85.7,157.62,6.42,7.3,76G-FAM007697,Thaumi_prot_LH_FAM002886,N,Y,,,,,,,,,,2379.00029,0.092277978,-6.292082147,3.13E-10
NVIE_005720,NVIE_RS02800,hypothetical protein,0.23,7.46E-02,211.96,223.62,7.72,7.8,76G-FAM010121,Thaumi_prot_LH_FAM002885,N,Y,,,,,,,,,,5571.044217,0.111972355,2.021264745,0.043252367
NVIE_005730,NVIE_RS02805,zinc finger C2H2 domain-containing protein,-0.49,2.47E-02,13.34,23.03,3.71,4.51,76G-FAM010122,Thaumi_prot_LH_FAM002883,N,Y,,,,,,,,,,192.8189015,0.194418211,-2.496896556,0.01252855
NVIE_0582,NVIE_RS02810,putative prephenate dehydrogenase,-0.24,4.09E-02,64.42,93.56,6,6.55,76G-FAM008247,Thaumi_prot_LH_FAM000128,N,Y,,,,,,,,,,2813.323801,0.10635875,-2.291545323,0.021931894
NVIE_005740,NVIE_RS02815,putative chorismate mutase,-0.15,1.56E-01,84.51,114.97,6.39,6.84,76G-FAM000917,Thaumi_prot_LH_FAM000127,Y,N,,,,,,,,,,5781.395414,0.091495475,-1.642508461,0.100484674
NVIE_005750,NVIE_RS02820,chorismate synthase,-0.15,3.68E-01,112.92,153.97,6.81,7.24,76G-FAM000664,Thaumi_prot_LH_FAM000126,Y,N,,,,,,,,,,6173.353138,0.137457524,-1.081700364,0.279385692
NVIE_005760,NVIE_RS02825,3-phosphoshikimate 1-carboxyvinyltransferase,-0.4,1.74E-03,93.47,150.96,6.53,7.23,76G-FAM000481,Thaumi_prot_LH_FAM000123,Y,N,,,,,,,,,,6529.820206,0.116715692,-3.412654849,0.000643334
NVIE_005770,NVIE_RS02830,shikimate kinase,-0.11,4.41E-01,59.21,78.55,5.88,6.28,76G-FAM000482,Thaumi_prot_LH_FAM000122,N,N,,,,,,,,,,2463.729847,0.117227225,-0.942301542,0.346038279
NVIE_0587,NVIE_RS02835,shikimate 5-dehydrogenase,-0.21,5.76E-02,83.83,118.91,6.38,6.89,76G-FAM000483,Thaumi_prot_LH_FAM000121,N,N,,,,,,,,,,3602.394274,0.099156602,-2.139658122,0.032382406
NVIE_005780,NVIE_RS02840,3-dehydroquinate dehydratase,-0.23,2.74E-02,239.71,345,7.9,8.43,76G-FAM000484,Thaumi_prot_LH_FAM000120,Y,N,,,,,,,,,,8277.072131,0.092739851,-2.455406376,0.01407254
NVIE_005800,NVIE_RS02845,hypothetical protein,-0.08,8.81E-01,1.03,1.34,-0.03,0.37,76G-FAM010123,Thaumi_prot_LH_FAM003548,N,Y,,,,,,,,,,24.3158507,0.394890471,-0.206097726,0.836714575
NVIE_005810,NVIE_RS02850,hypothetical protein,-0.82,3.86E-09,71.5,154.39,6.15,7.26,76G-FAM010124,Thaumi_prot_LH_FAM002881,N,Y,,,,,,,,,,1571.011205,0.13146037,-6.209660266,5.31E-10
NVIE_005820,NVIE_RS02855,putative DNA methylase N-4/N-6 domain protein,0.39,2.28E-03,609.87,571.78,9.25,9.16,76G-FAM009556,Thaumi_prot_LH_FAM001323,N,Y,,,,,,,,,,22108.69911,0.117427553,3.330532554,0.0008668
NVIE_005830,NVIE_RS02860,protein of unknown function,0.22,5.31E-01,7.17,7.49,2.76,2.87,76G-FAM035168,Thaumi_prot_LH_FAM008459,N,Y,,,,,,,,,,81.03465798,0.277272866,0.781376852,0.434580881
NVIE_005840,NVIE_RS02865,3-dehydroquinate synthase,-0.38,1.17E-03,143.9,228.53,7.15,7.84,76G-FAM000485,Thaumi_prot_LH_FAM000119,Y,N,,,,,,,,,,8478.7158,0.107133092,-3.52802856,0.000418667
NVIE_005850,NVIE_RS02870,putative 3-deoxy-7-phosphoheptulonate synthase,-0.33,1.62E-02,205.1,316.85,7.66,8.3,76G-FAM000486_0,Thaumi_prot_LH_FAM000118,Y,N,,,,,,,,,,8448.982354,0.12443947,-2.661275212,0.00778453
NVIE_005860,NVIE_RS02875,protein of unknown function,1.37,5.72E-09,11.05,5.27,3.42,2.37,76G-FAM010125,Thaumi_prot_LH_FAM003001,N,Y,,,,,,,,,,195.0181277,0.223492485,6.141996992,8.15E-10
NVIE_005870,NVIE_RS02880,protein of unknown function,0.06,6.74E-01,48.47,56.79,5.59,5.82,76G-FAM007812,Thaumi_prot_LH_FAM000271,N,Y,,,,,,,,,,714.6870738,0.115904837,0.53861034,0.590155752
NVIE_005880,NVIE_RS02885,putative endonuclease 4,-0.06,7.02E-01,179.29,229.24,7.47,7.83,76G-FAM000493,Thaumi_prot_LH_FAM001103,Y,N,,,,,,,,,,7352.361399,0.116389815,-0.495602011,0.620175234
NVIE_005890,NVIE_RS02890,"DNA primase, large subunit",0.37,3.27E-04,53.45,50.74,5.74,5.66,76G-FAM000588,Thaumi_prot_LH_FAM001104,Y,N,,,,,,,,,,2256.092947,0.096446809,3.878615703,0.000105053
NVIE_005900,NVIE_RS02895,"DNA primase, small subunit",0.29,2.27E-02,78.82,79.48,6.29,6.31,76G-FAM000211,Thaumi_prot_LH_FAM001105,Y,N,,,,,,,,,,4018.878418,0.114893928,2.531255071,0.011365516
NVIE_005910,NVIE_RS02900,hypothetical protein,0.32,7.52E-03,333.14,327.54,8.37,8.35,76G-FAM000864,Thaumi_prot_LH_FAM001106,N,N,,,,,,,,,,41060.06614,0.110230367,2.93685488,0.003315592
NVIE_005920,NVIE_RS02905,putative GMP synthase,0.08,6.22E-01,76.61,89.54,6.25,6.48,76G-FAM007445,Thaumi_prot_LH_FAM001107,Y,Y,,,,,,,,,,1962.263595,0.123286869,0.62082693,0.534713502
NVIE_005930,NVIE_RS02910,TPR repeat protein,-0.37,4.00E-05,157.36,249.49,7.29,7.96,76G-FAM007450,Thaumi_prot_LH_FAM001108,N,Y,,,,,,,,,,7665.344763,0.083856985,-4.40427295,1.06E-05
NVIE_005940,NVIE_RS02915,protein of unknown function,-0.24,5.85E-02,45.74,66.06,5.5,6.04,76G-FAM010126,Thaumi_prot_LH_FAM002880,N,Y,,,,,,,,,,876.4954401,0.114547478,-2.130831977,0.033102987
NVIE_005970,NVIE_RS02920,aldo/keto reductase,-0.53,6.99E-06,113.94,201.6,6.83,7.65,76G-FAM002017,Thaumi_prot_LH_FAM000637,Y,N,,,,,,,,,,8494.500301,0.1107937,-4.794997708,1.63E-06
NVIE_0609,NVIE_RS02925,hypothetical protein,1.23,5.06E-22,189.12,100.01,7.56,6.63,76G-FAM010127,Thaumi_prot_LH_FAM002879,N,Y,,,,,,,,,,4851.457483,0.122802211,9.982821961,1.81E-23
NVIE_005980,NVIE_RS02930,hypothetical protein,1.37,2.52E-14,107.43,51.61,6.74,5.64,76G-FAM001591_0,Thaumi_prot_LH_FAM002396,Y,N,,,,,,,,,,948.667702,0.171787999,7.950399421,1.86E-15
NVIE_005990,NVIE_RS02935,protein of unknown function,0.71,2.08E-09,75.69,56.87,6.24,5.83,76G-FAM010183,Thaumi_prot_LH_FAM003549,N,Y,,,,,,,,,,3436.083385,0.112354293,6.311912065,2.76E-10
NVIE_006020,NVIE_RS02945,protein of unknown function,0.23,7.34E-01,0.68,0.73,-0.74,-0.53,76G-FAM035170,Thaumi_prot_LH_FAM008462,N,Y,,,,,,,,,,17.33307958,0.509329802,0.446910082,0.654939984
NVIE_006030,NVIE_RS02950,protein of unknown function,-0.13,2.33E-01,285.31,381.32,8.15,8.57,76G-FAM035171,Thaumi_prot_LH_FAM008463,N,Y,,,,,,,,,,9795.059027,0.089699158,-1.400332812,0.16141368
NVIE_006050,NVIE_RS02960,protein of unknown function,0.07,5.92E-01,11.48,13.41,3.52,3.74,76G-FAM010182,Thaumi_prot_LH_FAM003550,N,Y,,,,,,,,,,1120.325657,0.110756989,0.673612223,0.50055788
NVIE_006060,NVIE_RS02970,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",0.08,7.03E-01,31.09,36.32,4.94,5.16,76G-FAM002002,Thaumi_prot_LH_FAM000635,Y,N,,,,,,,,,,1248.414067,0.153577492,0.494819679,0.620727412
NVIE_006070,NVIE_RS02975,"putative transcriptional regulator, AsnC family",-0.26,1.27E-02,326.55,479.35,8.35,8.9,76G-FAM000172_0,Thaumi_prot_LH_FAM000047_0,Y,N,,,,,,,,,,4008.002211,0.095884781,-2.754858097,0.00587176
NVIE_006080,NVIE_RS02980,hypothetical protein,0.1,4.41E-01,134.28,152.85,7.06,7.25,76G-FAM002618,Thaumi_prot_LH_FAM000634,Y,N,,,,,,,,,,2422.476058,0.110915371,0.943412802,0.345469797
NVIE_006090,NVIE_RS02985,putative Na+(Li+)/H+ antiporter,-0.39,8.64E-04,49.12,78.78,5.61,6.3,76G-FAM008629,Thaumi_prot_LH_FAM002799,N,Y,,,,,,,,,,3352.662607,0.107353813,-3.614125458,0.000301363
NVIE_006100,NVIE_RS02990,putative glycogen debranching enzyme,0,9.92E-01,154.64,190.51,7.27,7.57,76G-FAM010128,Thaumi_prot_LH_FAM002878,N,Y,,,,,,,,,,18972.45706,0.108732394,-0.013064301,0.989576492
NVIE_006110,NVIE_RS02995,mannosyl-3-phosphoglycerate synthase,-0.13,1.62E-01,277.79,373.55,8.12,8.54,76G-FAM006285,Thaumi_prot_LH_FAM002877,N,Y,,,,,,,,,,16367.70644,0.082471435,-1.618513194,0.105552046
NVIE_006120,NVIE_RS03000,conserved protein of unknown function,0.2,2.28E-01,230.91,245.37,7.83,7.92,76G-FAM010129,Thaumi_prot_LH_FAM002876,N,Y,,,,,,,,,,2070.072257,0.142508445,1.412126445,0.157912734
NVIE_006130,NVIE_RS03005,hypothetical protein,0.34,1.91E-02,69.82,67.22,6.1,6.07,76G-FAM010130,Thaumi_prot_LH_FAM002642,N,Y,,,,,,,,,,1649.948196,0.131657337,2.599569561,0.009334076
NVIE_006140,NVIE_RS03010,putative hydroxypyruvate reductase,-0.2,4.45E-02,44.37,62.57,5.47,5.97,76G-FAM000734,Thaumi_prot_LH_FAM000435,N,N,,,,,,,,,,3006.046334,0.088780756,-2.255041938,0.024130697
NVIE_006150,NVIE_RS03015,biotin-[acetyl-CoA-carboxylase] ligase,0.16,3.59E-01,90.46,99.32,6.47,6.61,76G-FAM005346,Thaumi_prot_LH_FAM000726,N,Y,,,,,,,,,,4102.597083,0.147334965,1.103271312,0.269909361
NVIE_006160,NVIE_RS03020,hypothetical protein,0.03,8.60E-01,78.18,93.84,6.28,6.55,76G-FAM010131,Thaumi_prot_LH_FAM002875,N,Y,,,,,,,,,,853.8020216,0.107541663,0.241486311,0.809178225
NVIE_006170,NVIE_RS03025,putative GTP binding protein,0.35,2.32E-02,255.08,246.86,7.98,7.93,76G-FAM000229_0,Thaumi_prot_LH_FAM000729,Y,N,,,,,,,,,,12861.04278,0.137684899,2.522715572,0.011645255
NVIE_006180,NVIE_RS03030,hypothetical protein,0.82,3.76E-11,69.27,48.27,6.1,5.59,76G-FAM010132,Thaumi_prot_LH_FAM003551,N,Y,,,,,,,,,,1852.589667,0.118309679,6.937695322,3.99E-12
NVIE_006210,NVIE_RS03040,protein of unknown function,0.1,6.24E-01,12.86,14.64,3.67,3.87,76G-FAM035174,Thaumi_prot_LH_FAM008466,N,Y,,,,,,,,,,149.2213223,0.170000974,0.617251194,0.537069053
NVIE_006220,NVIE_RS03045,protein of unknown function,0.89,4.55E-02,4.17,2.74,2.02,1.23,76G-FAM007817,Thaumi_prot_LH_FAM002857,N,Y,,,,,,,,,,33.91665359,0.397413321,2.245586363,0.024730515
NVIE_006230,NVIE_RS03050,protein of unknown function,1.68,4.97E-15,28.07,10.71,4.76,3.4,76G-FAM011534,Thaumi_prot_LH_FAM003225,N,Y,,,,,,,,,,279.7903848,0.206157933,8.156784584,3.44E-16
NVIE_006240,NVIE_RS03055,protein of unknown function,0.8,1.89E-06,59.02,41.53,5.85,5.36,76G-FAM035175,Thaumi_prot_LH_FAM008467,N,Y,,,,,,,,,,1035.469478,0.157876739,5.070684961,3.96E-07
NVIE_006250,NVIE_RS03060,protein of unknown function,1.04,1.31E-13,28.32,16.76,4.81,4.06,76G-FAM010370,Thaumi_prot_LH_FAM003552,N,Y,,,,,,,,,,781.6935922,0.135041251,7.735271051,1.03E-14
NVIE_006260,NVIE_RS03065,putative CoA-binding domain protein,0.05,6.98E-01,190.74,225.13,7.57,7.81,76G-FAM000245,Thaumi_prot_LH_FAM001404,N,N,,,,,,,,,,3659.571019,0.10291314,0.502873892,0.615052938
NVIE_006270,NVIE_RS03070,protein of unknown function,-0.36,7.58E-02,25.35,39.98,4.61,5.31,76G-FAM035176,Thaumi_prot_LH_FAM008468,N,Y,,,,,,,,,,1051.90565,0.179948061,-2.013961429,0.044013583
NVIE_006280,NVIE_RS03075,protein of unknown function,-0.47,1.48E-01,15.81,26.48,3.81,4.71,76G-FAM035177,Thaumi_prot_LH_FAM008469,N,Y,,,,,,,,,,223.0481422,0.278401167,-1.671447302,0.094633359
NVIE_006300,NVIE_RS03085,hypothetical protein,0.56,1.69E-03,74.61,61.87,6.19,5.94,76G-FAM007544,Thaumi_prot_LH_FAM001349,N,Y,,,,,,,,,,1084.638193,0.165034191,3.422942569,0.000619472
NVIE_006310,NVIE_RS03090,amidophosphoribosyltransferase,0.51,7.57E-04,479.67,415.46,8.88,8.69,76G-FAM002059,Thaumi_prot_LH_FAM001092,Y,N,,,,,,,,,,28847.18824,0.139278592,3.651242594,0.000260975
NVIE_006320,NVIE_RS03095,phosphoribosylformylglycinamidine synthase II,-0.04,8.34E-01,334.33,424.7,8.37,8.71,76G-FAM002060,Thaumi_prot_LH_FAM001093,N,N,,,,,,,,,,34991.02804,0.142020417,-0.282598261,0.777484813
NVIE_006330,NVIE_RS03100,phosphoribosylformylglycinamidine synthase I,-0.3,2.47E-02,521.91,790.26,9.01,9.62,76G-FAM002061,Thaumi_prot_LH_FAM001094,N,N,,,,,,,,,,18964.07727,0.120271617,-2.496328102,0.012548647
NVIE_006340,NVIE_RS03105,putative signal transduction protein with CBS domains,0.01,9.20E-01,121.24,147,6.92,7.2,76G-FAM000773_0,Thaumi_prot_LH_FAM001413_0,N,N,,,,,,,,,,2913.163531,0.090755246,0.14324941,0.886093209
NVIE_006350,NVIE_RS03110,putative phosphoribosylformylglycinamidine synthase PurS,-0.23,1.28E-01,104.78,150.51,6.7,7.23,76G-FAM002062,Thaumi_prot_LH_FAM000228,N,N,,,,,,,,,,1511.141253,0.131715782,-1.747473169,0.080555295
NVIE_006360,NVIE_RS03115,nitroreductase-like protein,0.7,1.17E-07,82.11,62.29,6.35,5.94,76G-FAM000660_0,Thaumi_prot_LH_FAM003080,N,N,,,,,,,,,,1564.63134,0.12396456,5.609467437,2.03E-08
NVIE_006380,NVIE_RS03125,protein of unknown function,0.93,1.11E-10,34.01,22.07,5.08,4.45,76G-FAM010257,Thaumi_prot_LH_FAM003553,N,Y,,,,,,,,,,754.6617277,0.137131176,6.778389907,1.22E-11
NVIE_006400,NVIE_RS03135,protein of unknown function,0.45,8.44E-02,14.14,12.56,3.73,3.64,76G-FAM035180,Thaumi_prot_LH_FAM008471,N,Y,,,,,,,,,,240.6130545,0.22917508,1.961310517,0.049842811
NVIE_006410,NVIE_RS03140,hypothetical protein,0.26,3.48E-01,11.65,11.92,3.46,3.56,76G-FAM009707,Thaumi_prot_LH_FAM002696,N,Y,,,,,,,,,,215.5995288,0.228924034,1.125854866,0.260226956
NVIE_006430,NVIE_RS03145,protein of unknown function,-0.29,4.88E-02,22.38,33.65,4.47,5.07,76G-FAM035181,Thaumi_prot_LH_FAM008472,N,Y,,,,,,,,,,904.8926466,0.130789686,-2.213801413,0.026842443
NVIE_006440,NVIE_RS03150,protein of unknown function,-0.05,7.96E-01,24.68,31.1,4.61,4.95,76G-FAM010928,Thaumi_prot_LH_FAM003554,N,Y,,,,,,,,,,335.2522079,0.135409396,-0.347505374,0.728211682
NVIE_t0080,NVIE_RS03155,tRNA-Thr,-0.67,1.07E-03,56.7,109.91,5.79,6.76,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,251.711785,0.187244485,-3.55476885,0.000378312
NVIE_006450,NVIE_RS03160,"ABC efflux transporter, permease protein",0.06,7.82E-01,71.51,84.58,6.13,6.39,76G-FAM000650,Thaumi_prot_LH_FAM002873,N,N,,,,,,,,,,2496.809447,0.150510137,0.368593124,0.712431021
NVIE_006460,NVIE_RS03165,"ABC efflux transporter, ATP-binding protein",0.28,9.63E-02,86.11,86.89,6.39,6.42,76G-FAM000031_3,Thaumi_prot_LH_FAM001126,Y,N,,,,,,,,,,3315.051449,0.146130058,1.896887804,0.057842747
NVIE_006480,NVIE_RS03170,hypothetical protein,0.41,2.16E-04,180.28,166.03,7.48,7.37,76G-FAM004944,Thaumi_prot_LH_FAM001810,N,Y,,,,,,,,,,2375.971028,0.102406003,3.989304309,6.63E-05
NVIE_006490,NVIE_RS03175,putative peptidase M50,0.67,3.35E-07,932.63,720.24,9.85,9.49,76G-FAM000784,Thaumi_prot_LH_FAM002872,N,N,,,,,,,,,,44153.87894,0.12475936,5.410140341,6.30E-08
NVIE_006500,NVIE_RS03180,hypothetical protein,-0.18,3.90E-01,31.47,43.69,4.94,5.43,76G-FAM011523,Thaumi_prot_LH_FAM002993,N,Y,,,,,,,,,,384.0207282,0.174303018,-1.038462092,0.299054975
NVIE_006510,NVIE_RS03185,protein of unknown function,-0.43,2.95E-02,7.98,13.29,2.97,3.73,76G-FAM035182,Thaumi_prot_LH_FAM008473,N,Y,,,,,,,,,,258.797137,0.177159725,-2.426588329,0.01524154
NVIE_006520,NVIE_RS03190,protein of unknown function,-0.19,4.66E-01,8.17,11.35,2.96,3.49,76G-FAM035183,Thaumi_prot_LH_FAM008474,N,Y,,,,,,,,,,181.8190473,0.212855771,-0.898091287,0.369136884
NVIE_006550,NVIE_RS03195,protein of unknown function,-0.21,2.12E-01,82.56,116.63,6.34,6.86,76G-FAM035184,Thaumi_prot_LH_FAM008476,N,Y,,,,,,,,,,2868.108162,0.142569001,-1.458586841,0.144678858
NVIE_006560,NVIE_RS03200,putative integrase family protein,0.18,3.50E-01,3.77,4.07,1.89,2.02,76G-FAM002266,Thaumi_prot_LH_FAM001759,N,N,,,,,,,,,,242.7823755,0.163254471,1.122377374,0.261702021
NVIE_006570,NVIE_RS03205,protein of unknown function,-0.25,1.62E-01,14.7,21.23,3.84,4.41,76G-FAM035185,Thaumi_prot_LH_FAM008477,N,Y,,,,,,,,,,631.735202,0.15318764,-1.617167617,0.105842104
NVIE_006580,NVIE_RS03210,Putative metal-dependent RNase with beta-lactamase domain,0.09,4.25E-01,357.16,411.73,8.48,8.68,76G-FAM000321,Thaumi_prot_LH_FAM000855,Y,N,,,,,,,,,,33981.77914,0.096354667,0.971383036,0.331357573
NVIE_006600,NVIE_RS03215,protein of unknown function,0.49,5.18E-02,28.06,24.42,4.73,4.56,76G-FAM009761,Thaumi_prot_LH_FAM002716,N,Y,,,,,,,,,,654.94207,0.222316003,2.18661544,0.028770609
NVIE_006610,NVIE_RS03220,uncharacterised protein family UPF0147,-0.5,3.74E-04,614.59,1056.13,9.26,10.03,76G-FAM000003,Thaumi_prot_LH_FAM000901,Y,N,,,,,,,,,,10325.87639,0.128909797,-3.843156541,0.000121462
NVIE_006620,NVIE_RS03225,hypothetical protein,0.71,1.29E-10,245.6,184.68,7.93,7.53,76G-FAM010135,Thaumi_prot_LH_FAM002871,N,Y,,,,,,,,,,2958.808177,0.104425301,6.755377095,1.42E-11
NVIE_006630,NVIE_RS03230,protein of unknown function,-0.09,4.44E-01,155.5,203.89,7.28,7.67,76G-FAM010136,Thaumi_prot_LH_FAM002870,N,Y,,,,,,,,,,1890.434496,0.099071587,-0.936923816,0.348797748
NVIE_006640,NVIE_RS03235,putative UspA domain protein,0.16,8.77E-02,208.89,228.59,7.71,7.84,76G-FAM001480_0,Thaumi_prot_LH_FAM000499_0,N,N,,,,,,,,,,3954.074645,0.084925776,1.941232291,0.052230108
NVIE_006650,NVIE_RS03240,putative calcium/cation antiporter family protein,-0.29,1.27E-01,270.41,406.88,8.04,8.66,76G-FAM010137,Thaumi_prot_LH_FAM001357,N,Y,,,,,,,,,,14644.03426,0.164491584,-1.754698475,0.079310897
NVIE_006660,NVIE_RS03245,protein of unknown function,-0.12,4.35E-01,68.03,90.64,6.07,6.5,76G-FAM008252,Thaumi_prot_LH_FAM000164,N,Y,,,,,,,,,,2811.792563,0.123728154,-0.954243131,0.339960587
NVIE_006670,NVIE_RS03250,protein of unknown function,0.12,8.06E-01,2.89,3.22,1.48,1.63,76G-FAM010138,Thaumi_prot_LH_FAM003556,N,Y,,,,,,,,,,26.07596277,0.372959891,0.331996154,0.739892163
NVIE_006680,NVIE_RS03255,protein of unknown function,-0.31,1.47E-03,76.75,116.64,6.26,6.86,76G-FAM010139,Thaumi_prot_LH_FAM003557,N,Y,,,,,,,,,,2522.558365,0.090599713,-3.462652621,0.000534878
NVIE_006690,NVIE_RS03260,protein of unknown function,-0.18,5.53E-01,13.08,18.06,3.64,4.15,76G-FAM010140,Thaumi_prot_LH_FAM003558,N,Y,,,,,,,,,,139.5119875,0.236591598,-0.741881592,0.45815908
NVIE_006720,NVIE_RS03265,succinyl-CoA ligase (ADP-forming) alpha subunit,-0.94,2.80E-10,266.74,626.68,8.03,9.28,76G-FAM000941,Thaumi_prot_LH_FAM000072,N,N,,,,,,,,,,16925.92927,0.141613557,-6.633863766,3.27E-11
NVIE_006730,NVIE_RS03270,succinyl-CoA ligase (ADP-forming) beta subunit,-0.85,2.11E-09,412.01,911.84,8.66,9.83,76G-FAM000940,Thaumi_prot_LH_FAM000073,Y,N,,,,,,,,,,30348.55522,0.135268912,-6.309707079,2.80E-10
NVIE_006740,NVIE_RS03275,putative hydroxymethylpyrimidine transporter CytX,-0.19,2.42E-01,101.19,142.36,6.65,7.13,76G-FAM000719,Thaumi_prot_LH_FAM002869,N,Y,,,,,,,,,,6521.203104,0.135766045,-1.37585249,0.168867307
NVIE_006750,NVIE_RS03280,phosphomethylpyrimidine synthase,0.11,2.79E-01,316.69,359.97,8.31,8.49,76G-FAM005203,Thaumi_prot_LH_FAM000130,N,Y,,,,,,,,,,19733.05354,0.089415559,1.282089296,0.199811324
NVIE_006780,NVIE_RS03285,Thiamine biosynthesis bifunctional protein : putative hydroxymethylpyrimidine/phosphomethylpyrimidine kinase ; Thiamine-phosphate synthase ThiN,-0.27,7.43E-03,75.14,111.07,6.23,6.79,76G-FAM000496,Thaumi_prot_LH_FAM000131,N,Y,,,,,,,,,,5519.272335,0.090410287,-2.941469792,0.003266587
NVIE_006800,NVIE_RS03290,nucleotidyl-transferase,-0.17,2.25E-01,213.05,293.81,7.73,8.2,76G-FAM000731_0,Thaumi_prot_LH_FAM000286,Y,N,,,,,,,,,,7485.801716,0.116656474,-1.418921881,0.155921792
NVIE_006810,NVIE_RS03295,putative glucosamine-1-phosphate N-acetyltransferase,-0.17,2.03E-01,86.4,119.61,6.42,6.9,76G-FAM000357,Thaumi_prot_LH_FAM002868,N,N,,,,,,,,,,5384.687078,0.1134473,-1.486946556,0.137028927
NVIE_006830,NVIE_RS03310,protein of unknown function,-0.17,2.41E-01,29.27,40.2,4.85,5.33,76G-FAM035186,Thaumi_prot_LH_FAM008479,N,Y,,,,,,,,,,917.5245643,0.124329766,-1.379714585,0.16767454
NVIE_006840,NVIE_RS03315,protein of unknown function,0.34,4.38E-02,77.84,75,6.26,6.21,76G-FAM005291,Thaumi_prot_LH_FAM003381,N,Y,,,,,,,,,,1369.11986,0.150982047,2.262728784,0.023652413
NVIE_006860,NVIE_RS03325,putative 5-methylcytosine restriction system component-like protein,-0.32,3.29E-02,12.49,19.13,3.62,4.25,76G-FAM035188,Thaumi_prot_LH_FAM008480,N,Y,,,,,,,,,,858.4460148,0.134572594,-2.381865627,0.017225182
NVIE_006870,NVIE_RS03330,putative AAA+ ATPase associated with various cellular activities,-0.56,1.17E-04,30.53,54.96,4.9,5.78,76G-FAM035189,Thaumi_prot_LH_FAM008481,N,Y,,,,,,,,,,4843.886448,0.134790621,-4.143468832,3.42E-05
NVIE_006880,NVIE_RS03335,protein of unknown function DUF541,-0.21,9.14E-02,199.37,283.19,7.63,8.14,76G-FAM010187,Thaumi_prot_LH_FAM003024,N,Y,,,,,,,,,,12451.7727,0.11120024,-1.922074627,0.054596368
NVIE_006890,NVIE_RS03340,putative UDP-N-acetylglucosamine 2-epimerase,-0.16,1.73E-01,60.61,82.75,5.91,6.37,76G-FAM010142,Thaumi_prot_LH_FAM002867,N,Y,,,,,,,,,,4357.111846,0.099876307,-1.581014972,0.113874614
NVIE_0699,NVIE_RS03345,hypothetical protein,0.26,2.72E-01,226.36,233.9,7.75,7.85,76G-FAM007456,Thaumi_prot_LH_FAM000284,Y,Y,,,,,,,,,,4340.115281,0.199282893,1.299036924,0.193931258
NVIE_006900,NVIE_RS03350,putative UDP-glucose-hexose-1-phosphate uridylyltransferase,-0.16,2.35E-01,276.11,380.4,8.1,8.57,76G-FAM002338,Thaumi_prot_LH_FAM000283,N,N,,,,,,,,,,14265.71797,0.114008749,-1.394920912,0.16303969
NVIE_0702,NVIE_RS03355,protein of unknown function,-0.61,1.24E-04,11.8,22.05,3.55,4.46,76G-FAM010143,Thaumi_prot_LH_FAM003563,N,Y,,,,,,,,,,222.5720932,0.148218557,-4.128213022,3.66E-05
NVIE_006920,NVIE_RS03360,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",-0.3,1.61E-02,312.81,473.88,8.28,8.88,76G-FAM000768,Thaumi_prot_LH_FAM000282,Y,N,,,,,,,,,,21218.32054,0.112663274,-2.6639868,0.007722059
NVIE_006940,NVIE_RS03365,hypothetical protein,0.44,2.62E-08,643.23,579.84,9.33,9.18,76G-FAM010144,Thaumi_prot_LH_FAM002864,N,Y,,,,,,,,,,5144.985577,0.075272874,5.879110133,4.12E-09
NVIE_006950,NVIE_RS03370,transcription initiation factor IIB,0.45,2.04E-04,728.15,655.47,9.5,9.36,76G-FAM000279_0,Thaumi_prot_LH_FAM000723_0,Y,N,,,,,,,,,,30346.711,0.112320787,4.004811992,6.21E-05
NVIE_006960,NVIE_RS03375,Putative H/ACA RNA-protein complex component Gar1,0.53,2.18E-02,779.5,663.67,9.56,9.3,76G-FAM000278,Thaumi_prot_LH_FAM000777,Y,N,,,,,,,,,,11107.52665,0.210019621,2.546546018,0.010879487
NVIE_006970,NVIE_RS03380,signal recognition particle 19 kDa protein,-0.73,3.44E-06,26.13,52.53,4.67,5.71,76G-FAM000277,Thaumi_prot_LH_FAM000776,Y,N,,,,,,,,,,514.2163165,0.147106046,-4.947439448,7.52E-07
NVIE_006980,NVIE_RS03385,30S ribosomal protein S8e,-0.36,8.46E-03,280.55,437.24,8.1,8.77,76G-FAM000276,Thaumi_prot_LH_FAM000775,Y,N,,,,,,,,,,5806.935701,0.123625434,-2.895033601,0.003791179
