Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein Family LH,AOA conserved,AOA exclusive,"Conserved NV,NF,NM",Conserved in Soil Strains
NFRAN_RS02680,NFRAN_0651,hypothetical protein,-0.33,2.14E-02,14.66,27.03,3.86,4.75,76G-FAM011023,Thaumi_prot_LH_FAM004601,N,Y,,
NFRAN_RS02685,NFRAN_0652,AAA family ATPase,0.31,1.58E-03,76.3,90.48,6.25,6.5,76G-FAM005027,Thaumi_prot_LH_FAM003274,N,Y,,
NFRAN_RS02690,NFRAN_0653,HAMP domain-containing sensor histidine kinase,0.18,2.05E-01,99.08,127.95,6.6,7,76G-FAM003578_0,Thaumi_prot_LH_FAM004602,N,N,,
NFRAN_RS02695,NFRAN_0654,hypothetical protein,-0.6,4.79E-04,8.11,17.9,3,4.14,76G-FAM011024,Thaumi_prot_LH_FAM004603,N,Y,,
NFRAN_RS02700,NFRAN_0655,response regulator,0.17,2.58E-01,206.49,273.12,7.68,8.09,76G-FAM003595_0,Thaumi_prot_LH_FAM001253_0,N,N,,
NFRAN_RS02705,NFRAN_0656,dodecin family protein,0.19,4.79E-01,40.3,52.25,5.27,5.7,76G-FAM004988,Thaumi_prot_LH_FAM003091,N,Y,,
NFRAN_RS02710,NFRAN_0657,sulfurtransferase,0.25,6.86E-02,298.19,367.47,8.19,8.52,76G-FAM001528_0,Thaumi_prot_LH_FAM000233_0,Y,N,,
NFRAN_RS02715,NFRAN_0658,hypothetical protein,0.46,2.76E-05,47.56,50.79,5.56,5.66,76G-FAM001738,Thaumi_prot_LH_FAM004605,N,N,,
NFRAN_RS02720,NFRAN_0659,glutamine--fructose-6-phosphate transaminase (isomerizing),1.88,8.44E-28,949.72,389.58,9.87,8.6,76G-FAM000315,Thaumi_prot_LH_FAM000886,Y,N,,
NFRAN_RS02725,NFRAN_0661,hypothetical protein,-0.05,7.77E-01,21.73,32.65,4.4,5.03,76G-FAM001531,Thaumi_prot_LH_FAM003016,N,N,,
NFRAN_RS02730,NFRAN_0662,30S ribosomal protein S4,-0.42,8.73E-06,704.77,1380.55,9.44,10.43,76G-FAM000400,Thaumi_prot_LH_FAM000885,Y,N,,
NFRAN_RS02735,NFRAN_0663,30S ribosomal protein S13,-0.37,5.02E-03,230.87,437.06,7.83,8.77,76G-FAM000566,Thaumi_prot_LH_FAM000884,N,N,,
NFRAN_RS02740,NFRAN_0664,PadR family transcriptional regulator,0.87,6.40E-10,313.52,254.15,8.28,7.98,76G-FAM007534,Thaumi_prot_LH_FAM000954,N,Y,,
NFRAN_RS02745,NFRAN_0665,Sjogren's syndrome/scleroderma autoantigen 1 family protein,0.67,4.12E-08,634.37,589.67,9.29,9.2,76G-FAM000591,Thaumi_prot_LH_FAM000648,Y,N,,
NFRAN_RS02750,NFRAN_0666,SRPBCC family protein,0.08,5.98E-01,41.39,57.3,5.35,5.84,76G-FAM007477,Thaumi_prot_LH_FAM000665,N,Y,,
NFRAN_RS02755,NFRAN_0667,hypothetical protein,0.31,7.68E-03,186.99,223.46,7.54,7.8,76G-FAM004849,Thaumi_prot_LH_FAM001045,N,N,,
NFRAN_RS02760,NFRAN_0668,M3 family oligoendopeptidase,-0.46,1.31E-05,84.54,169.75,6.38,7.4,76G-FAM007557,Thaumi_prot_LH_FAM000323,N,Y,,
NFRAN_RS02765,NFRAN_0669,hypothetical protein,0.53,7.00E-04,110.68,113.5,6.78,6.82,76G-FAM011025,Thaumi_prot_LH_FAM004606,N,Y,,
NFRAN_RS02770,NFRAN_0670,CBS domain-containing protein,0.51,1.41E-04,126.1,130.62,6.96,7.02,76G-FAM000773_0,Thaumi_prot_LH_FAM001413_0,N,N,,
NFRAN_RS02775,NFRAN_0671,methane monooxygenase/ammonia monooxygenase subunit B,0.22,3.58E-02,10672.2,13420.23,13.37,13.71,76G-FAM007701,Thaumi_prot_LH_FAM000258,Y,Y,,
NFRAN_RS13560,NFRAN_0672,hypothetical protein,0.53,3.11E-03,47.28,48.4,5.55,5.59,#N/A,Thaumi_prot_LH_FAM000193,#N/A,#N/A,,
NFRAN_RS02780,NFRAN_0673,2-oxoacid:acceptor oxidoreductase subunit alpha,0.8,1.54E-11,249.02,210.94,7.94,7.72,76G-FAM000603,Thaumi_prot_LH_FAM000192,Y,N,,
NFRAN_RS02785,NFRAN_0674,2-oxoacid:ferredoxin oxidoreductase subunit beta,0.53,5.32E-09,246.92,251.46,7.94,7.97,76G-FAM000602,Thaumi_prot_LH_FAM000191,N,N,,
NFRAN_RS02790,NFRAN_0675,ammonia monooxygenase subunit A,0.35,7.62E-05,8938.73,10286.83,13.11,13.33,76G-FAM007545,Thaumi_prot_LH_FAM000260,Y,Y,,
NFRAN_RS02795,NFRAN_0676,ammonia monooxygenase subunit X,0.64,3.35E-04,1986.37,1875.02,10.93,10.85,76G-FAM007546,Thaumi_prot_LH_FAM001761,Y,Y,,
NFRAN_RS02800,NFRAN_0677,pyridoxal 5'-phosphate synthase lyase subunit PdxS,0.12,3.54E-01,360.07,491.91,8.49,8.94,76G-FAM001708,Thaumi_prot_LH_FAM000042,Y,N,,
NFRAN_RS02805,NFRAN_0678,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT,0.13,2.62E-01,187.82,248.99,7.52,7.96,76G-FAM001684,Thaumi_prot_LH_FAM000041,Y,N,,
NFRAN_RS02810,0,tRNA-Leu,-0.69,1.05E-02,19.75,46.78,4.26,5.53,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS02815,NFRAN_0679,hypothetical protein,-0.34,4.76E-01,1.32,2.45,0.39,1.17,76G-FAM010813,Thaumi_prot_LH_FAM004394,N,Y,,
NFRAN_RS02820,NFRAN_0680,hypothetical protein,-0.04,9.26E-01,7.62,11.61,2.83,3.51,76G-FAM035556,Thaumi_prot_LH_FAM013139,N,Y,,
NFRAN_RS02835,NFRAN_0683,hypothetical protein,-0.87,9.99E-13,406.01,1076.88,8.62,10.07,76G-FAM035559,Thaumi_prot_LH_FAM013142,N,Y,,
NFRAN_RS02840,NFRAN_0686,hypothetical protein,1.1,3.95E-22,283.99,195.19,8.14,7.61,76G-FAM010984,Thaumi_prot_LH_FAM004559,N,Y,,
NFRAN_RS02845,NFRAN_0687,hypothetical protein,0.98,4.08E-01,2.56,1.97,#NUM!,#NUM!,76G-FAM010585,Thaumi_prot_LH_FAM004183,N,Y,,
NFRAN_RS02850,0,hypothetical protein,0.59,3.81E-01,1.57,1.57,0.61,0.49,76G-FAM003153,Thaumi_prot_LH_FAM002609,N,N,,
NFRAN_RS02855,NFRAN_0688,hypothetical protein,0.46,2.72E-01,6.85,7.48,2.71,2.82,76G-FAM003153,Thaumi_prot_LH_FAM005652,N,N,,
NFRAN_RS02860,NFRAN_0689,hypothetical protein,0.28,3.92E-01,15.86,19.42,3.97,4.18,76G-FAM035560,Thaumi_prot_LH_FAM013143,N,Y,,
NFRAN_RS02865,NFRAN_0690,DDE-type integrase/transposase/recombinase,-0.66,5.14E-01,0.28,0.69,#NUM!,-0.59,76G-FAM003153,Thaumi_prot_LH_FAM002609,N,N,,
NFRAN_RS02870,NFRAN_TRNA11,tRNA-Thr,0.25,5.46E-01,39.87,48.38,5.15,5.55,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS02875,NFRAN_0694,CBS domain-containing protein,-0.31,3.74E-02,110.35,198.46,6.74,7.63,76G-FAM000773_0,Thaumi_prot_LH_FAM001413_0,N,N,,
NFRAN_RS02880,NFRAN_0695,ATP-dependent DNA ligase,-0.04,7.34E-01,59.42,89.97,5.89,6.49,76G-FAM000239,Thaumi_prot_LH_FAM000566,N,N,,
NFRAN_RS02885,NFRAN_0696,site-specific DNA-methyltransferase,-0.21,2.21E-01,31.74,54.27,4.97,5.76,76G-FAM004918,Thaumi_prot_LH_FAM003204,N,N,,
NFRAN_RS02890,NFRAN_0697,hypothetical protein,-0.18,2.58E-01,156.07,261.26,7.27,8.03,76G-FAM007598,Thaumi_prot_LH_FAM000457,Y,Y,,
NFRAN_RS02895,NFRAN_0698,polynucleotide 5'-hydroxyl-kinase,0.32,8.98E-03,22.25,26.1,4.46,4.7,76G-FAM011027,Thaumi_prot_LH_FAM004608,N,Y,,
NFRAN_RS02900,NFRAN_0701,tetratricopeptide repeat protein,-0.42,1.16E-04,27.08,53.06,4.75,5.72,76G-FAM011163,Thaumi_prot_LH_FAM004868,N,Y,,
NFRAN_RS02905,NFRAN_0702,PP2C family serine/threonine-protein phosphatase,-0.33,2.84E-02,77.99,143.99,6.26,7.16,76G-FAM011029,Thaumi_prot_LH_FAM004610,N,Y,,
NFRAN_RS02910,NFRAN_0703,protein kinase,-0.27,5.30E-02,151.2,264.43,7.2,8.04,76G-FAM011030,Thaumi_prot_LH_FAM004611,N,Y,,
NFRAN_RS02915,NFRAN_0704,vWA domain-containing protein,-0.1,4.93E-01,256.77,404.14,7.98,8.66,76G-FAM011031,Thaumi_prot_LH_FAM004612,N,Y,,
NFRAN_RS02920,NFRAN_0705,hypothetical protein,-0.8,1.99E-05,62.54,158.06,5.9,7.3,76G-FAM011162,Thaumi_prot_LH_FAM004867,N,Y,,
NFRAN_RS02925,NFRAN_MISCRNA1,signal recognition particle sRNA,1.63,1.84E-07,284872.61,139682.68,18.07,17.08,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS02930,NFRAN_0706,thermosome subunit beta,-0.27,6.51E-03,1970.53,3469.35,10.92,11.76,76G-FAM000111_0,Thaumi_prot_LH_FAM001048,Y,N,,
NFRAN_RS02935,NFRAN_0707,50S ribosomal protein L11,-0.29,2.65E-02,1053.93,1895.3,10.03,10.88,76G-FAM000980,Thaumi_prot_LH_FAM000221,Y,N,,
NFRAN_RS02940,NFRAN_0708,transcription elongation factor Spt5,0.1,3.40E-01,991.08,1363.89,9.95,10.41,76G-FAM000979,Thaumi_prot_LH_FAM000220,Y,N,,
NFRAN_RS02945,NFRAN_0709,D-aminoacyl-tRNA deacylase,-0.28,7.19E-02,26.87,47.68,4.72,5.57,76G-FAM000409,Thaumi_prot_LH_FAM000218,Y,N,,
NFRAN_RS02950,NFRAN_0710,NUDIX domain-containing protein,0.24,1.52E-01,26.35,32.42,4.69,5.01,76G-FAM007553,Thaumi_prot_LH_FAM000129,N,Y,,
NFRAN_RS02955,NFRAN_0711,50S ribosomal protein L19e,-0.21,5.54E-02,705.12,1196.21,9.45,10.22,76G-FAM000581,Thaumi_prot_LH_FAM000216,Y,N,,
NFRAN_RS02960,NFRAN_0712,50S ribosomal protein L32e,-0.15,2.39E-01,308.59,497.23,8.24,8.95,76G-FAM000617,Thaumi_prot_LH_FAM000215,N,N,,
NFRAN_RS02965,NFRAN_0713,superoxide dismutase,1.03,1.67E-11,2200.16,1582.36,11.06,10.63,76G-FAM000589,Thaumi_prot_LH_FAM000213,Y,N,,
NFRAN_RS02970,NFRAN_0714,YkgJ family cysteine cluster protein,0.11,5.04E-01,53.24,72.09,5.7,6.17,76G-FAM008213,Thaumi_prot_LH_FAM000290,N,Y,,
NFRAN_RS02975,NFRAN_0715,hypothetical protein,-0.42,6.27E-02,41.5,79.79,5.28,6.3,76G-FAM007459,Thaumi_prot_LH_FAM001260,N,Y,,
NFRAN_RS13565,0,tRNA-Gln,0.12,5.79E-01,588.81,801.32,9.16,9.64,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS02980,NFRAN_0717,phosphoenolpyruvate carboxykinase (ATP),-0.3,6.38E-03,469.75,849.91,8.86,9.73,76G-FAM007600,Thaumi_prot_LH_FAM000214,Y,Y,,
NFRAN_RS02985,NFRAN_0718,SAM-dependent methyltransferase,-0.43,9.83E-05,54.24,106.82,5.74,6.74,76G-FAM008207,Thaumi_prot_LH_FAM000902,N,Y,,
NFRAN_RS02990,NFRAN_0719,Rieske 2Fe-2S domain-containing protein,-0.43,2.34E-04,55.24,108.67,5.77,6.76,76G-FAM001504_0,Thaumi_prot_LH_FAM000737_0,Y,N,,
NFRAN_RS02995,NFRAN_0720,ornithine carbamoyltransferase,-0.58,1.28E-06,68.9,151.4,6.09,7.24,76G-FAM000126_1,Thaumi_prot_LH_FAM000209,N,N,,
NFRAN_RS03000,NFRAN_0721,signal recognition particle-docking protein FtsY,-0.26,5.97E-03,259.67,454.68,8.01,8.83,76G-FAM000935,Thaumi_prot_LH_FAM000210,N,N,,
NFRAN_RS03005,NFRAN_0722,prefoldin subunit alpha,-0.17,1.05E-01,186.59,308.38,7.53,8.26,76G-FAM002450,Thaumi_prot_LH_FAM000211,Y,N,,
NFRAN_RS03010,NFRAN_0723,type II glyceraldehyde-3-phosphate dehydrogenase,-0.52,4.84E-06,226.42,471.67,7.79,8.88,76G-FAM001542,Thaumi_prot_LH_FAM000537,N,N,,
NFRAN_RS03015,NFRAN_0724,4-hydroxyphenylacetate 3-hydroxylase N-terminal domain-containing protein,1.03,1.10E-12,864.67,625.61,9.73,9.29,76G-FAM002043,Thaumi_prot_LH_FAM000014,Y,Y,,
NFRAN_RS03020,NFRAN_0725,helix-turn-helix domain-containing protein,-0.1,7.35E-01,11.36,18.1,3.5,4.16,76G-FAM007578,Thaumi_prot_LH_FAM000428,N,Y,,
NFRAN_RS03025,NFRAN_0726,hypothetical protein,-0.16,3.87E-01,34.73,56.84,5.1,5.82,76G-FAM007579,Thaumi_prot_LH_FAM000429,Y,Y,,
NFRAN_RS03030,NFRAN_0727,hypothetical protein,0.2,1.98E-01,103.39,132.81,6.68,7.05,76G-FAM007580,Thaumi_prot_LH_FAM000430,Y,Y,,
NFRAN_RS03035,NFRAN_0728,S-methyl-5'-thioadenosine phosphorylase,-0.43,2.49E-04,119.17,235.21,6.88,7.88,76G-FAM001813,Thaumi_prot_LH_FAM000431,Y,N,,
NFRAN_RS03040,NFRAN_0729,adenine phosphoribosyltransferase,-0.72,5.37E-06,32.17,76.67,4.96,6.25,76G-FAM002671,Thaumi_prot_LH_FAM000432,Y,N,,
NFRAN_RS03045,NFRAN_0730,RlmE family RNA methyltransferase,-0.16,2.33E-01,40.11,66.23,5.32,6.04,76G-FAM000281,Thaumi_prot_LH_FAM000372,N,N,,
NFRAN_RS03050,NFRAN_0731,anthranilate phosphoribosyltransferase,0.07,5.10E-01,52.46,73.15,5.7,6.19,76G-FAM000927,Thaumi_prot_LH_FAM000689,N,N,,
NFRAN_RS03055,NFRAN_0732,aminodeoxychorismate/anthranilate synthase component II,-0.09,5.04E-01,80.41,126.01,6.31,6.97,76G-FAM000928,Thaumi_prot_LH_FAM000690,N,N,,
NFRAN_RS03060,NFRAN_0733,PfkB family carbohydrate kinase,-0.38,3.92E-04,49.98,95.56,5.63,6.58,76G-FAM008152,Thaumi_prot_LH_FAM000793,N,Y,,
NFRAN_RS03065,NFRAN_0734,UbiX family flavin prenyltransferase,0.21,4.62E-02,68.35,87.07,6.09,6.44,76G-FAM000613,Thaumi_prot_LH_FAM000490,N,N,,
NFRAN_RS03070,NFRAN_0735,KH domain-containing protein,-0.15,1.37E-01,361.54,591.95,8.49,9.21,76G-FAM000706,Thaumi_prot_LH_FAM000423,Y,N,,
NFRAN_RS03075,NFRAN_0736,MoaD/ThiS family protein,-0.28,2.14E-01,111.39,199.56,6.74,7.63,76G-FAM000063_0,Thaumi_prot_LH_FAM003914,N,N,,
NFRAN_RS03080,NFRAN_0737,30S ribosomal protein S17e,-0.26,1.40E-01,119.1,209.87,6.87,7.69,76G-FAM000180,Thaumi_prot_LH_FAM001752,Y,N,,
NFRAN_RS03085,NFRAN_0738,TatD family hydrolase,0.3,3.24E-02,32.97,39.31,5.02,5.29,76G-FAM000386,Thaumi_prot_LH_FAM000035,Y,N,,
NFRAN_RS03090,NFRAN_0739,histone family protein,-0.92,1.16E-08,140.72,391.14,7.1,8.61,76G-FAM000859,Thaumi_prot_LH_FAM000036,Y,N,,
NFRAN_RS03095,0,tRNA-Cys,-0.49,7.14E-02,47.88,98.74,5.52,6.6,#N/A,#N/A,#N/A,#N/A,,
NFRAN_RS03100,NFRAN_0740,DUF309 domain-containing protein,-0.3,5.63E-02,96.95,173.62,6.57,7.43,76G-FAM001469,Thaumi_prot_LH_FAM000281,N,N,,
NFRAN_RS03105,NFRAN_0741,succinate--CoA ligase subunit alpha,-0.11,3.20E-01,505.32,799.17,8.97,9.64,76G-FAM000941,Thaumi_prot_LH_FAM000072,N,N,,
NFRAN_RS03110,NFRAN_0742,ATP-grasp domain-containing protein,-0.13,1.39E-01,203.36,327.19,7.66,8.35,76G-FAM000940,Thaumi_prot_LH_FAM000073,Y,N,,
NFRAN_RS03115,NFRAN_0743,hypothetical protein,-0.77,1.20E-11,71.48,177.75,6.13,7.47,76G-FAM011033,Thaumi_prot_LH_FAM004614,N,Y,,
NFRAN_RS03120,NFRAN_0744,DUF424 family protein,0.12,5.41E-01,22.99,30.75,4.49,4.94,76G-FAM000939,Thaumi_prot_LH_FAM000448,Y,N,,
NFRAN_RS03125,NFRAN_0745,orotidine 5'-phosphate decarboxylase / HUMPS family protein,-0.72,8.08E-08,42.4,102.7,5.38,6.68,76G-FAM001922,Thaumi_prot_LH_FAM000816,Y,N,,
NFRAN_RS03130,NFRAN_0746,hypothetical protein,-0.94,4.22E-09,50.12,140.52,5.6,7.13,76G-FAM002642,Thaumi_prot_LH_FAM000815,Y,N,,
NFRAN_RS03135,NFRAN_0747,hypothetical protein,0,9.85E-01,102.33,151.7,6.66,7.24,76G-FAM000240,Thaumi_prot_LH_FAM001163,Y,N,,
NFRAN_RS03140,NFRAN_0748,glutamine-hydrolyzing GMP synthase,0.01,9.24E-01,141.32,207.04,7.14,7.69,76G-FAM000961,Thaumi_prot_LH_FAM001162,N,N,,
NFRAN_RS03145,0,hypothetical protein,-0.45,5.46E-03,35.45,71.56,5.14,6.15,76G-FAM011034,Thaumi_prot_LH_FAM004615,N,Y,,
NFRAN_RS03150,NFRAN_0749,6-hydroxymethylpterin diphosphokinase MptE-like protein,-0.36,1.74E-01,7.42,14.07,2.81,3.81,76G-FAM000236,Thaumi_prot_LH_FAM001164,N,N,,
NFRAN_RS03155,NFRAN_0750,CoA-binding protein,0.47,9.63E-04,104.23,110.55,6.68,6.78,76G-FAM000245,Thaumi_prot_LH_FAM001404,N,N,,
NFRAN_RS03160,NFRAN_0751,DUF373 family protein,0.97,1.80E-14,501.73,378.52,8.96,8.56,76G-FAM000271,Thaumi_prot_LH_FAM000819,Y,N,,
NFRAN_RS03165,NFRAN_0752,polyprenyl diphosphate synthase,0.21,9.21E-02,118.18,149.38,6.86,7.22,76G-FAM000287,Thaumi_prot_LH_FAM000818,Y,N,,
NFRAN_RS13570,NFRAN_0753,hypothetical protein,-0.37,2.32E-02,121.18,230.93,6.9,7.85,#N/A,Thaumi_prot_LH_FAM003244,#N/A,#N/A,,
NFRAN_RS03170,NFRAN_0755,NUDIX domain-containing protein,-0.09,5.71E-01,78.85,123.32,6.28,6.94,76G-FAM000953,Thaumi_prot_LH_FAM000817,N,N,,
NFRAN_RS03175,NFRAN_0756,NERD domain-containing protein,-0.06,6.80E-01,66.79,103.1,6.06,6.68,76G-FAM007379,Thaumi_prot_LH_FAM000709,N,Y,,
NFRAN_RS03180,NFRAN_0757,plastocyanin/azurin family copper-binding protein,-0.4,8.26E-05,1511.7,2911.46,10.54,11.5,76G-FAM002825_0,Thaumi_prot_LH_FAM000003_0,Y,N,,
NFRAN_RS03185,NFRAN_0758,plastocyanin/azurin family copper-binding protein,-0.88,5.43E-17,2649.01,7114.83,11.35,12.8,76G-FAM002825_0,Thaumi_prot_LH_FAM000003_0,Y,N,,
NFRAN_RS03190,NFRAN_0759,hypothetical protein,0.61,6.51E-05,14.47,13.87,3.84,3.78,76G-FAM011036,Thaumi_prot_LH_FAM004616,N,Y,,
NFRAN_RS03195,NFRAN_0760,Fe(2+)-trafficking protein,-0.32,1.79E-02,111.91,204.34,6.78,7.67,76G-FAM002811,Thaumi_prot_LH_FAM001750,Y,N,,
NFRAN_RS03200,NFRAN_0761,hypothetical protein,-0.54,1.46E-02,12.82,26.84,3.61,4.72,76G-FAM011037,Thaumi_prot_LH_FAM004617,N,Y,,
NFRAN_RS03205,NFRAN_0762,adenylosuccinate synthetase,-0.5,5.58E-09,141.5,295.12,7.14,8.2,76G-FAM000394,Thaumi_prot_LH_FAM000814,Y,N,,
NFRAN_RS03210,NFRAN_0763,IMP dehydrogenase,-0.57,5.75E-09,398.19,869.79,8.62,9.76,76G-FAM000395,Thaumi_prot_LH_FAM001166,Y,N,,
NFRAN_RS03215,NFRAN_0764,prohibitin family protein,0.42,1.40E-02,1449.12,1594.59,10.47,10.62,76G-FAM008475,Thaumi_prot_LH_FAM001961,N,Y,,
NFRAN_RS03220,NFRAN_0765,hypothetical protein,0.71,1.14E-03,41.01,36.69,5.3,5.19,76G-FAM010045,Thaumi_prot_LH_FAM002839,N,Y,,
NFRAN_RS03225,NFRAN_0766,transcriptional regulator MntR,-0.77,9.48E-06,54.84,137.94,5.74,7.1,76G-FAM000191,Thaumi_prot_LH_FAM000643,Y,N,,
NFRAN_RS03230,NFRAN_0767,hypothetical protein,-0.51,3.15E-02,35.58,73.74,5.06,6.2,76G-FAM011038,Thaumi_prot_LH_FAM004618,N,Y,,
NFRAN_RS03235,0,hypothetical protein,-0.27,7.51E-01,2.1,3.51,0.56,1.69,76G-FAM035561,Thaumi_prot_LH_FAM013144,N,Y,,
NFRAN_RS03240,NFRAN_0769,hypothetical protein,-0.42,1.31E-03,35.94,70.53,5.14,6.13,76G-FAM011039,Thaumi_prot_LH_FAM004619,N,Y,,
NFRAN_RS03245,NFRAN_0770,hypothetical protein,0.07,5.68E-01,325.36,455.34,8.33,8.83,76G-FAM002288,Thaumi_prot_LH_FAM004620,N,N,,
NFRAN_RS03250,NFRAN_0771,alpha/beta hydrolase-fold protein,0.14,2.12E-01,173.92,230.58,7.42,7.85,76G-FAM006987,Thaumi_prot_LH_FAM004621,N,Y,,
NFRAN_RS03255,NFRAN_0772,branched-chain amino acid transaminase,-0.62,3.75E-06,46.66,103.85,5.5,6.7,76G-FAM000727_0,Thaumi_prot_LH_FAM000749,Y,N,,
NFRAN_RS03260,NFRAN_0773,aspartate kinase,-0.18,1.01E-01,110.9,185.58,6.79,7.53,76G-FAM004925,Thaumi_prot_LH_FAM000748,Y,Y,,
NFRAN_RS03265,NFRAN_0774,glycosyltransferase,-0.53,1.94E-04,7.83,16.66,2.96,4.05,76G-FAM003499,Thaumi_prot_LH_FAM000747,N,N,,
NFRAN_RS03270,NFRAN_0775,DUF2024 family protein,-0.04,7.73E-01,469.03,706.47,8.86,9.46,76G-FAM007422,Thaumi_prot_LH_FAM000535,Y,Y,,
NFRAN_RS03275,NFRAN_0776,S8 family serine peptidase,0.37,1.91E-03,166.99,190.36,7.37,7.57,76G-FAM011040,Thaumi_prot_LH_FAM004622,N,Y,,
NFRAN_RS03280,NFRAN_0777,hypothetical protein,0.48,1.12E-02,135.11,141.73,7.03,7.13,76G-FAM011041,Thaumi_prot_LH_FAM004623,N,Y,,
NFRAN_RS03285,NFRAN_0778,hypothetical protein,0.23,5.78E-02,70.66,89.24,6.14,6.48,76G-FAM011042,Thaumi_prot_LH_FAM004624,N,Y,,
NFRAN_RS03290,NFRAN_0779,Lrp/AsnC family transcriptional regulator,-0.32,2.42E-01,37.2,67.48,5.11,6.05,76G-FAM000172_0,Thaumi_prot_LH_FAM000047_0,Y,N,,
NFRAN_RS03295,NFRAN_0780,DUF3303 family protein,0.6,1.44E-03,59.44,58.46,5.88,5.86,76G-FAM007591,Thaumi_prot_LH_FAM004625,N,Y,,
NFRAN_RS03300,NFRAN_0782,glycosyltransferase family 2 protein,-0.56,3.91E-03,26.23,57.96,4.68,5.85,76G-FAM011156,Thaumi_prot_LH_FAM004861,N,Y,,
NFRAN_RS03305,NFRAN_0783,hypothetical protein,-1.03,3.89E-05,13.55,39.73,3.62,5.31,76G-FAM011157,Thaumi_prot_LH_FAM004862,N,Y,,
NFRAN_RS03310,NFRAN_0784,glycosyl hydrolase,-0.09,4.08E-01,61.22,96,5.93,6.58,76G-FAM035562,Thaumi_prot_LH_FAM013145,N,Y,,
NFRAN_RS03315,NFRAN_0785,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),-0.6,4.23E-06,73.39,161.27,6.16,7.33,76G-FAM002431,Thaumi_prot_LH_FAM000550,N,N,,
NFRAN_RS03320,NFRAN_0787,hypothetical protein,0.66,6.63E-07,857.78,790.55,9.71,9.62,76G-FAM011161,Thaumi_prot_LH_FAM004866,N,Y,,
NFRAN_RS03325,NFRAN_0788,hypothetical protein,0.71,6.26E-08,422.83,376.21,8.69,8.55,76G-FAM011554,Thaumi_prot_LH_FAM005527,N,Y,,
NFRAN_RS03330,NFRAN_0789,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,0.14,1.71E-01,53.23,70.86,5.72,6.14,76G-FAM010862,Thaumi_prot_LH_FAM004447,N,Y,,
NFRAN_RS03335,NFRAN_0790,PQQ-dependent sugar dehydrogenase,-0.19,1.16E-01,115.48,193.95,6.84,7.59,76G-FAM011158,Thaumi_prot_LH_FAM004863,N,Y,,
NFRAN_RS03340,NFRAN_0791,RDD family protein,0.18,8.07E-02,101.9,132.58,6.67,7.05,76G-FAM004953,Thaumi_prot_LH_FAM002228,N,Y,,
NFRAN_RS03345,NFRAN_0792,hypothetical protein,0.01,9.37E-01,69.13,100.28,6.09,6.64,76G-FAM011045,Thaumi_prot_LH_FAM004628,N,Y,,
NFRAN_RS03350,NFRAN_0795,hypothetical protein,-0.59,2.06E-08,55.04,121.88,5.77,6.92,76G-FAM000144,Thaumi_prot_LH_FAM002026,N,N,,
NFRAN_RS03355,NFRAN_0797,response regulator transcription factor,1.97,1.33E-69,46.32,17.33,5.52,4.1,76G-FAM035563,Thaumi_prot_LH_FAM013146,N,Y,,
NFRAN_RS03360,NFRAN_0798,PIG-L family deacetylase,-0.78,2.23E-16,98.97,247.77,6.61,7.95,76G-FAM003587,Thaumi_prot_LH_FAM001676,N,N,,
NFRAN_RS03365,NFRAN_0799,"N,N-dimethylformamidase beta subunit family domain-containing protein",-0.19,3.11E-02,69.74,117,6.12,6.87,76G-FAM010643,Thaumi_prot_LH_FAM005653,N,Y,,
NFRAN_RS03370,NFRAN_0800,"N,N-dimethylformamidase beta subunit family domain-containing protein",-0.5,4.28E-05,116.44,241.21,6.85,7.91,76G-FAM010643,Thaumi_prot_LH_FAM005653,N,Y,,
NFRAN_RS03375,NFRAN_0801,hypothetical protein,-0.04,8.63E-01,124.79,186.25,6.91,7.54,76G-FAM011046,Thaumi_prot_LH_FAM004629,N,Y,,
NFRAN_RS03380,NFRAN_0802,hypothetical protein,0.54,5.72E-02,18.88,19.51,4.21,4.24,76G-FAM009852,Thaumi_prot_LH_FAM002511,N,Y,,
NFRAN_RS03385,NFRAN_0803,CBS domain-containing protein,0.23,6.81E-02,303.84,381.97,8.23,8.57,76G-FAM007489,Thaumi_prot_LH_FAM004630,N,Y,,
NFRAN_RS03390,NFRAN_0804,thioredoxin,0.74,2.50E-07,266.59,236.55,8.04,7.88,76G-FAM000983_0,Thaumi_prot_LH_FAM000017,Y,N,,
NFRAN_RS03395,NFRAN_0805,hypothetical protein,-0.61,9.23E-06,19.31,43.25,4.25,5.43,76G-FAM011047,Thaumi_prot_LH_FAM004631,N,Y,,
NFRAN_RS03400,NFRAN_0808,cation diffusion facilitator family transporter,0.06,5.81E-01,32.79,46.13,5.03,5.52,76G-FAM011048,Thaumi_prot_LH_FAM004632,N,Y,,
