Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein family LH,AOA conserved,AOA exclusive,Conserved,Conserved_LH,Rank TPM
NVIE_021560,NVIE_RS10365,protein of unknown function,0.54,1.64E-01,3.4,2.85,1.67,1.4,76G-FAM035317,Thaumi_prot_LH_FAM008639,N,Y,NV,NV,2959
NVIE_020040,NVIE_RS09640,conserved exported protein of unknown function,0.54,5.07E-02,6.66,5.69,2.71,2.47,76G-FAM009755,Thaumi_prot_LH_FAM002778,N,Y,NV+NF,NV+NF,2810
NVIE_028370,NVIE_RS13545,conserved protein of unknown function,0.54,1.07E-04,212.99,179.9,7.72,7.48,76G-FAM009926,Thaumi_prot_LH_FAM003149,N,Y,NV,NV,673
NVIE_021960,NVIE_RS10560,putative cupredoxin,0.54,1.62E-04,53.09,44.92,5.72,5.48,76G-FAM009099,Thaumi_prot_LH_FAM001386,N,Y,NV,NV,1753
NVIE_019380,NVIE_RS09370,protein of unknown function,0.53,9.12E-02,5.61,4.69,2.36,2.22,76G-FAM009770,Thaumi_prot_LH_FAM002887,N,Y,NV+NF,NV+NF,2849
NVIE_006960,NVIE_RS03375,Putative H/ACA RNA-protein complex component Gar1,0.53,2.18E-02,779.5,663.67,9.56,9.3,76G-FAM000278,Thaumi_prot_LH_FAM000777,Y,N,NV+NF+NM,NV+NF+NM,168
NVIE_028550,NVIE_RS15665,protein of unknown function,0.53,5.84E-03,529.72,450.66,9.01,8.8,#N/A,Thaumi_prot_LH_FAM003859,#N/A,#N/A,NA,NV,278
NVIE_002080,NVIE_RS15075,protein of unknown function,0.53,3.64E-01,1.99,1.66,0.86,0.51,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3035
NVIE_018430,#N/A,protein of unknown function,0.53,6.49E-02,40.53,33.88,5.33,4.98,#N/A,#N/A,#N/A,#N/A,NA,#N/A,1935
NVIE_024510,NVIE_RS11750,"putative glycosyl transferase, group 2 family",0.53,1.82E-05,130.93,111.7,7.03,6.79,76G-FAM010358,Thaumi_prot_LH_FAM003036,N,Y,NV+NF,NV+NF,1031
NVIE_006710,NVIE_RS15205,hypothetical protein,0.53,7.73E-03,156.27,131.16,7.22,7.03,#N/A,Thaumi_prot_LH_FAM003559,#N/A,#N/A,NA,NV,903
NVIE_011680,NVIE_RS05645,exported protein of unknown function,0.53,1.18E-05,78.76,66.78,6.29,6.06,76G-FAM035235,Thaumi_prot_LH_FAM008525,N,Y,NV,NV,1456
NVIE_013450,NVIE_RS06505,putative acyl transferase/acyl hydrolase/lysophospholipase domain containing protein,0.53,8.07E-07,228.65,194.96,7.84,7.6,76G-FAM007455,Thaumi_prot_LH_FAM001606,N,Y,NV+NF,NV+NF,639
NVIE_007160,NVIE_RS03480,putative Alpha/beta hydrolase fold,0.53,1.30E-05,33.53,28.38,5.06,4.82,76G-FAM004667,Thaumi_prot_LH_FAM003569,N,N,NV,NV,2058
NVIE_007180,NVIE_RS03490,Beta-lactamase domain-containing protein,0.53,2.89E-06,92.08,78.15,6.52,6.28,76G-FAM010150,Thaumi_prot_LH_FAM003180,N,Y,NV+NF,NV+NF,1342
NVIE_005570,NVIE_RS02735,protein of unknown function,0.53,6.15E-02,10.4,8.71,3.29,3.11,76G-FAM010115,Thaumi_prot_LH_FAM003129,N,Y,NV,NV,2660
NVIE_021930,NVIE_RS10545,exported protein of unknown function,0.53,9.72E-05,78.1,66.07,6.27,6.04,76G-FAM010413,Thaumi_prot_LH_FAM003217,N,Y,NV,NV,1466
NVIE_023150,NVIE_RS11105,exported protein of unknown function,0.53,1.40E-04,97.48,82.59,6.58,6.36,76G-FAM009765,Thaumi_prot_LH_FAM003796,N,Y,NV,NV,1281
NVIE_014690,NVIE_RS07135,urease accessory protein UreG,0.53,8.38E-05,565.29,482.9,9.14,8.91,76G-FAM007177,Thaumi_prot_LH_FAM000298,N,Y,NV+NF,NV+NF,250
NVIE_025010,#N/A,protein of unknown function,0.53,3.61E-01,3.99,3.45,1.57,1.76,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2925
NVIE_024860,NVIE_RS11900,conserved protein of unknown function,0.53,8.36E-05,83.75,71.28,6.37,6.15,76G-FAM009807,Thaumi_prot_LH_FAM002776,N,Y,NV+NF,NV+NF,1419
NVIE_024820,NVIE_RS14965,protein of unknown function,0.53,2.52E-04,104.82,88.48,6.69,6.46,#N/A,Thaumi_prot_LH_FAM008693,#N/A,#N/A,NA,NV,1219
NVIE_018760,NVIE_RS09135,protein of unknown function,0.53,9.81E-02,2.53,2.19,1.27,1.12,76G-FAM009775,Thaumi_prot_LH_FAM003739,N,Y,NV,NV,2999
NVIE_023750,NVIE_RS11370,protein of unknown function,0.53,5.42E-05,33.65,28.64,5.06,4.83,76G-FAM035342,Thaumi_prot_LH_FAM008675,N,Y,NV,NV,2054
NVIE_019580,NVIE_RS09445,transcription initiation factor IIB,0.52,5.74E-03,6.97,5.95,2.79,2.54,76G-FAM000279_0,Thaumi_prot_LH_FAM000723_0,Y,N,NV+NF+NM,NV+NF+NM,2794
NVIE_001830,NVIE_RS00890,NAD(P)-dependent malic enzyme,0.52,2.46E-05,176.26,151.08,7.46,7.24,76G-FAM000845,Thaumi_prot_LH_FAM001623,N,N,NV+NF,NV+NF,814
NVIE_0541,NVIE_RS02620,"putative transcriptional regulator, XRE family",0.52,2.70E-05,76.39,65.17,6.24,6.02,76G-FAM002194,Thaumi_prot_LH_FAM000315,N,N,NV+NF+NM,NV+NF+NM,1483
NVIE_027380,NVIE_RS13110,conserved protein of unknown function,0.52,1.97E-03,21.06,18.07,4.39,4.17,76G-FAM001591_0,Thaumi_prot_LH_FAM003846,Y,N,NV+NF+NM,NV,2336
NVIE_026570,#N/A,protein of unknown function,0.52,6.08E-01,0.88,0.76,-0.75,-0.83,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3103
NVIE_014060,NVIE_RS06820,methionine sulfoxide reductase B,0.52,5.96E-06,121.87,104.44,6.92,6.7,76G-FAM003394,Thaumi_prot_LH_FAM000160,N,N,NV+NF+NM,NV+NF+NM,1090
NVIE_015220,NVIE_RS07405,putative SAM-dependent methyltransferase,0.52,3.88E-03,481.31,414.97,8.87,8.69,76G-FAM010324,Thaumi_prot_LH_FAM003676,N,Y,NV+NF,NV+NF,303
NVIE_011040,NVIE_RS05340,"putative FAD-dependent, fixCX-like electron-transfer flavoprotein",0.52,1.32E-09,89.64,76.91,6.49,6.26,76G-FAM007481,Thaumi_prot_LH_FAM002790,N,Y,NV,NV,1370
NVIE_018110,NVIE_RS08800,protein of unknown function,0.52,2.31E-07,113.33,96.97,6.82,6.6,76G-FAM009997,Thaumi_prot_LH_FAM003731,N,Y,NV,NV,1154
NVIE_002510,NVIE_RS01220,protein of unknown function,0.52,9.17E-04,70.72,60.46,6.12,5.91,76G-FAM001591_0,Thaumi_prot_LH_FAM001524,Y,N,NV+NF+NM,NV+NF,1549
NVIE_003080,NVIE_RS01495,protein of unknown function,0.52,2.10E-06,54.65,46.86,5.77,5.55,76G-FAM005291,Thaumi_prot_LH_FAM003381,N,Y,NV,NV,1737
NVIE_008760,NVIE_RS04285,protein of unknown function,0.52,5.26E-03,13.09,11.22,3.71,3.46,76G-FAM010169,Thaumi_prot_LH_FAM003593,N,Y,NV,NV,2569
NVIE_005580,NVIE_RS02740,"putative CheY-like signal transduction response regulator, receiver domain",0.52,1.37E-05,56.72,48.48,5.82,5.59,76G-FAM003595_0,Thaumi_prot_LH_FAM001253_0,N,N,NV+NF+NM,NV+NF+NM,1715
NVIE_022460,NVIE_RS10800,protein of unknown function,0.52,3.19E-09,64.47,55.44,6.01,5.79,76G-FAM010388,Thaumi_prot_LH_FAM008654,N,Y,NV,NV,1620
NVIE_000440,NVIE_RS00220,putative SepF homologue,0.52,1.94E-05,384.14,327.77,8.57,8.35,76G-FAM002726,Thaumi_prot_LH_FAM000828,Y,N,NV+NF+NM,NV+NF+NM,387
NVIE_027040,NVIE_RS12935,exported protein of unknown function,0.52,1.81E-07,64.68,55.71,6.01,5.8,76G-FAM009887,Thaumi_prot_LH_FAM003078,N,Y,NV,NV,1617
NVIE_0294,NVIE_RS01410,hypothetical protein,0.51,2.41E-07,273.23,235.3,8.09,7.88,76G-FAM010055,Thaumi_prot_LH_FAM002998,N,Y,NV+NF,NV+NF,536
NVIE_024520,NVIE_RS11755,hypothetical protein,0.51,6.44E-03,24.37,21.11,4.59,4.38,76G-FAM010357,Thaumi_prot_LH_FAM003268,N,Y,NV,NV,2261
NVIE_008700,NVIE_RS04250,"putative glycosyl transferase, family 2",0.51,5.72E-05,189.58,163.88,7.56,7.35,76G-FAM003382,Thaumi_prot_LH_FAM002654,N,N,NV+NF,NV+NF,755
NVIE_009350,NVIE_RS04565,protein of unknown function,0.51,1.52E-01,3.23,2.78,1.68,1.42,76G-FAM035217,Thaumi_prot_LH_FAM008510,N,Y,NV,NV,2970
NVIE_003660,NVIE_RS01780,protein of unknown function,0.51,1.40E-07,90.35,77.77,6.5,6.28,76G-FAM010070,Thaumi_prot_LH_FAM003533,N,Y,NV,NV,1359
NVIE_009390,NVIE_RS04585,PilT protein domain protein,0.51,4.88E-02,15.93,13.66,3.91,3.74,76G-FAM004620,Thaumi_prot_LH_FAM002735,N,N,NV,NV,2483
NVIE_023410,NVIE_RS15575,conserved protein of unknown function,0.51,4.72E-04,268.56,231.68,8.06,7.85,#N/A,Thaumi_prot_LH_FAM000040_0,#N/A,#N/A,NA,NV+NF+NM,544
NVIE_005510,NVIE_RS02705,protein of unknown function,0.51,1.90E-04,193.84,166.46,7.58,7.37,76G-FAM010114,Thaumi_prot_LH_FAM002891,N,Y,NV+NF,NV+NF,739
NVIE_028820,NVIE_RS13765,protein of unknown function,0.51,5.02E-04,20.68,17.82,4.37,4.14,76G-FAM009935,Thaumi_prot_LH_FAM003202,N,Y,NV,NV,2350
NVIE_014070,NVIE_RS06825,hypothetical protein,0.51,1.76E-04,97.56,84.22,6.61,6.39,76G-FAM008820,Thaumi_prot_LH_FAM002231,N,Y,NV+NF,NV+NF,1280
NVIE_006310,NVIE_RS03090,amidophosphoribosyltransferase,0.51,7.57E-04,479.67,415.46,8.88,8.69,76G-FAM002059,Thaumi_prot_LH_FAM001092,Y,N,NV+NF+NM,NV+NF+NM,305
NVIE_015360,NVIE_RS07465,conserved protein of unknown function,0.5,1.26E-04,52.12,45.13,5.69,5.49,76G-FAM009865,Thaumi_prot_LH_FAM003065,N,Y,NV,NV,1773
NVIE_025480,NVIE_RS12185,conserved exported protein of unknown function,0.5,7.19E-06,123.29,106.3,6.94,6.72,76G-FAM001026,Thaumi_prot_LH_FAM000641,Y,N,NV+NF+NM,NV+NF+NM,1081
NVIE_014950,NVIE_RS07260,"ABC uptake transporter, substrate-binding protein",0.5,2.98E-05,86.77,75.47,6.44,6.23,76G-FAM007649,Thaumi_prot_LH_FAM002671,N,Y,NV+NF,NV+NF,1389
NVIE_008270,NVIE_RS04035,glucosamine-fructose-6-phosphate aminotransferase,0.5,1.99E-07,360.28,312.93,8.49,8.28,76G-FAM000315,Thaumi_prot_LH_FAM000886,Y,N,NV+NF+NM,NV+NF+NM,414
NVIE_014680,NVIE_RS07130,urease accessory protein UreD,0.5,1.86E-05,183.16,159.25,7.51,7.31,76G-FAM007853,Thaumi_prot_LH_FAM000297,N,Y,NV+NF,NV+NF,778
NVIE_014940,NVIE_RS07255,"ABC uptake transporter, ATP-binding protein",0.5,2.47E-03,76.09,66.57,6.24,6.02,76G-FAM000031_0,Thaumi_prot_LH_FAM000578,Y,N,NV+NF+NM,NV+NF+NM,1490
NVIE_023920,NVIE_RS11450,putative glycosyl transferase family 2,0.5,9.30E-03,14.98,12.9,3.85,3.69,76G-FAM009246,Thaumi_prot_LH_FAM002344,N,Y,NV+NF,NV,2512
NVIE_025180,NVIE_RS12030,putative DNA-3-methyladenine glycosylase II,0.5,4.71E-04,119.63,104.48,6.89,6.69,76G-FAM003574,Thaumi_prot_LH_FAM001055,N,N,NV,NV,1100
NVIE_017660,NVIE_RS08600,hypothetical protein,0.5,7.65E-04,72.86,62.81,6.15,5.97,76G-FAM004890,Thaumi_prot_LH_FAM003251,N,N,NV+NF+NM,NV+NF,1524
NVIE_020880,NVIE_RS10030,phosphate transporter subunit ; membrane component of ABC superfamily,0.5,3.63E-03,7.31,6.37,2.86,2.65,76G-FAM000598,Thaumi_prot_LH_FAM000379,N,N,NV+NF+NM,NV+NF+NM,2778
NVIE_012630,NVIE_RS06120,hypothetical protein,0.5,1.46E-05,46.43,40.32,5.53,5.33,76G-FAM007599,Thaumi_prot_LH_FAM002963,N,Y,NV+NF,NV+NF,1848
NVIE_013650,NVIE_RS06620,exported protein of unknown function,0.5,1.37E-03,90.02,78.31,6.49,6.27,76G-FAM010289,Thaumi_prot_LH_FAM003110,N,Y,NV,NV,1369
NVIE_012610,#N/A,protein of unknown function,0.5,3.71E-04,9.5,8.26,3.24,3.04,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2694
NVIE_022340,NVIE_RS10745,putative pirin family protein,0.5,9.46E-04,32.46,28.5,5.02,4.81,76G-FAM009454,Thaumi_prot_LH_FAM001549,N,Y,NV,NV,2089
NVIE_020830,NVIE_RS10005,putative enzyme,0.49,2.00E-02,47.47,41.47,5.54,5.31,76G-FAM003535,Thaumi_prot_LH_FAM001310,N,N,NV,NV,1829
NVIE_005650,NVIE_RS02770,protein of unknown function,0.49,1.33E-02,22.72,19.87,4.49,4.27,76G-FAM010119,Thaumi_prot_LH_FAM002636,N,Y,NV+NF,NV+NF,2297
NVIE_024090,NVIE_RS11545,conserved hypothetical protein,0.49,2.84E-02,10.54,9.23,3.38,3.17,76G-FAM035349,Thaumi_prot_LH_FAM003810,N,Y,NV,NV,2656
NVIE_023470,NVIE_RS11245,"AAA family ATPase, CDC48 subfamily protein",0.49,9.83E-05,1789.27,1571.09,10.8,10.61,76G-FAM000165_0,Thaumi_prot_LH_FAM000348_0,Y,N,NV+NF+NM,NV+NF+NM,55
NVIE_007400,NVIE_RS03585,"putative membrane associated signal transduction histidine kinase, with phosphoacceptor and ATP binding domain",0.49,2.31E-05,18.99,16.53,4.24,4.04,76G-FAM009710,Thaumi_prot_LH_FAM002722,N,Y,NV+NF,NV+NF,2395
NVIE_015240,NVIE_RS07415,protein of unknown function,0.49,6.06E-08,846.63,738.46,9.72,9.53,76G-FAM010325,Thaumi_prot_LH_FAM003073,N,Y,NV,NV,143
NVIE_021210,NVIE_RS10190,protein of unknown function,0.49,3.09E-03,164.19,142.57,7.32,7.15,76G-FAM003974,Thaumi_prot_LH_FAM008630,N,N,NV,NV,870
NVIE_1567,#N/A,fragment/hypothetical protein,0.49,4.88E-02,73.55,64.06,6.16,5.96,#N/A,#N/A,#N/A,#N/A,NA,#N/A,1516
NVIE_009230,NVIE_RS04510,hypothetical protein,0.49,2.75E-01,2.32,2.05,1.09,0.97,76G-FAM011518,Thaumi_prot_LH_FAM002975,N,Y,NV,NV,3009
NVIE_000650,NVIE_RS00325,putative serine/threonine-protein phosphatase,0.49,4.19E-04,52.26,45.91,5.69,5.51,76G-FAM000942,Thaumi_prot_LH_FAM001678,N,Y,NV+NF,NV+NF,1767
NVIE_027930,NVIE_RS13355,putative thymidylate kinase,0.49,9.40E-05,62.62,54.62,5.95,5.76,76G-FAM000129_0,Thaumi_prot_LH_FAM000845,N,N,NV+NF+NM,NV+NF+NM,1644
NVIE_012930,#N/A,protein of unknown function,0.49,4.50E-03,32.61,28.72,5.01,4.83,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2084
NVIE_006600,NVIE_RS03215,protein of unknown function,0.49,5.18E-02,28.06,24.42,4.73,4.56,76G-FAM009761,Thaumi_prot_LH_FAM002716,N,Y,NV,NV,2177
NVIE_029480,NVIE_RS14100,"2:oxoacid-ferredoxin oxidoreductase, fused alpha and gamma subunit",0.48,1.12E-03,254.92,225.06,7.98,7.81,76G-FAM000603,Thaumi_prot_LH_FAM000192,Y,N,NV+NF+NM,NV+NF+NM,565
NVIE_000610,NVIE_RS00305,putative protein of unknown function DUF309,0.48,1.09E-03,42.94,37.86,5.42,5.22,76G-FAM001469,Thaumi_prot_LH_FAM000281,N,N,NV+NF+NM,NV+NF+NM,1904
NVIE_029900,NVIE_RS14305,exported protein of unknown function with Blue (type 1) copper domain,0.48,4.14E-02,2.9,2.57,1.5,1.35,76G-FAM035450,Thaumi_prot_LH_FAM008798,N,Y,NV,NV,2985
NVIE_029580,NVIE_RS14145,blue (Type 1) copper domain-containing protein,0.48,4.67E-09,3045.93,2675.08,11.57,11.38,76G-FAM002825_0,Thaumi_prot_LH_FAM000003_0,Y,N,NV+NF+NM,NV+NF+NM,32
NVIE_023110,NVIE_RS11085,protein of unknown function,0.48,2.09E-05,63.82,56.22,5.99,5.81,76G-FAM010380,Thaumi_prot_LH_FAM003795,N,Y,NV+NF,NV,1629
NVIE_027270,NVIE_RS13055,ammonia monooxygenase subunit A,0.48,1.24E-03,18196.29,16028.46,14.14,13.96,76G-FAM007545,Thaumi_prot_LH_FAM000260,Y,Y,NV+NF+NM,NV+NF+NM,8
NVIE_015820,NVIE_RS07685,protein of unknown function,0.48,1.27E-02,25.72,22.59,4.67,4.46,76G-FAM009840,Thaumi_prot_LH_FAM003689,N,Y,NV,NV,2228
NVIE_002050,NVIE_RS00995,acetylornithine aminotransferase,0.48,2.42E-03,100.74,89.33,6.64,6.46,76G-FAM000341_0,Thaumi_prot_LH_FAM001300,N,N,NV+NF+NM,NV,1258
NVIE_023060,NVIE_RS11060,cation diffusion facilitator family transporter,0.48,6.69E-04,25.78,22.74,4.67,4.5,76G-FAM004914,Thaumi_prot_LH_FAM002284,N,N,NV+NF,NV+NF,2227
NVIE_022500,#N/A,protein of unknown function,0.48,2.04E-01,214.91,190.83,7.72,7.48,#N/A,#N/A,#N/A,#N/A,NA,#N/A,668
NVIE_002150,NVIE_RS14505,DNA polymerase IV with DUF72 domain,0.48,7.21E-04,60.61,53.63,5.91,5.74,76G-FAM010034,Thaumi_prot_LH_FAM002813,N,Y,NV+NF,NV+NF,1667
NVIE_013930,NVIE_RS06765,putative 1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate (AIR) carboxylase,0.48,7.80E-03,59.57,52.54,5.86,5.68,76G-FAM000833,Thaumi_prot_LH_FAM000873,Y,N,NV+NF+NM,NV+NF+NM,1680
NVIE_002210,NVIE_RS01080,protein of unknown function DUF541,0.48,5.73E-04,32.49,28.56,5.01,4.83,76G-FAM000289,Thaumi_prot_LH_FAM000607,N,Y,NV+NF+NM,NV+NF+NM,2087
NVIE_020230,NVIE_RS09725,exported protein of unknown function,0.47,2.01E-07,139.01,122.72,7.12,6.94,76G-FAM009685,Thaumi_prot_LH_FAM003762,N,Y,NV,NV,992
NVIE_008660,NVIE_RS04220,putative phosphoesterase,0.47,1.19E-04,31.83,28.33,4.99,4.82,76G-FAM000672,Thaumi_prot_LH_FAM000417,N,N,NV+NF+NM,NV+NF+NM,2098
NVIE_009460,NVIE_RS04620,hypothetical protein,0.47,4.63E-03,10.21,9,3.33,3.16,76G-FAM011502,Thaumi_prot_LH_FAM002955,N,Y,NV,NV,2669
NVIE_015850,NVIE_RS07700,putative Isochorismatase-like hydrolase,0.47,3.63E-03,32.79,29.2,5.02,4.86,76G-FAM008476,Thaumi_prot_LH_FAM003691,N,Y,NV+NF,NV+NF,2079
NVIE_009930,NVIE_RS04830,Archaeal flagellin,0.47,5.76E-06,173.13,153.48,7.43,7.25,76G-FAM001541,Thaumi_prot_LH_FAM001471,N,Y,NV,NV,834
NVIE_010980,NVIE_RS05310,putative MiaB-like tRNA modifying enzyme,0.47,6.33E-03,173.65,154.22,7.4,7.25,76G-FAM000254,Thaumi_prot_LH_FAM000515,Y,N,NV+NF+NM,NV+NF+NM,830
NVIE_014910,NVIE_RS07240,putative arginase family protein,0.47,7.20E-05,51.19,45.7,5.67,5.51,76G-FAM008238,Thaumi_prot_LH_FAM003673,N,Y,NV,NV,1782
NVIE_008090,NVIE_RS03950,TPR repeat protein,0.47,5.09E-06,443.38,391.94,8.78,8.61,76G-FAM007538,Thaumi_prot_LH_FAM000231,Y,Y,NV+NF+NM,NV+NF+NM,327
NVIE_012910,NVIE_RS06270,putative heavy metal transport/detoxification protein,0.47,4.20E-03,35.34,31.61,5.14,4.97,76G-FAM010276,Thaumi_prot_LH_FAM003018,N,Y,NV+NF,NV+NF,2020
NVIE_008880,NVIE_RS04340,putative glycosyl transferase,0.46,8.83E-04,66.57,59.48,6.05,5.88,76G-FAM007409,Thaumi_prot_LH_FAM003595,N,Y,NV+NF,NV+NF,1593
NVIE_023200,NVIE_RS11125,conserved protein of unknown function,0.46,7.56E-03,16.19,14.35,4,3.83,76G-FAM010372,Thaumi_prot_LH_FAM003230,N,Y,NV,NV,2471
NVIE_025820,NVIE_RS12350,NTP pyrophosphohydrolase (modular protein),0.46,5.17E-03,28.6,25.53,4.83,4.66,76G-FAM007988,Thaumi_prot_LH_FAM000511,N,Y,NV+NF+NM,NV+NF+NM,2159
NVIE_025960,NVIE_RS12410,putative methionine synthase,0.46,6.38E-06,251.61,224.52,7.97,7.81,76G-FAM008284,Thaumi_prot_LH_FAM000508,N,Y,NV+NF+NM,NV+NF+NM,573
NVIE_022070,NVIE_RS10615,putative XPB associated nuclease Bax1,0.46,1.41E-04,34.78,31.13,5.12,4.96,76G-FAM002414,Thaumi_prot_LH_FAM002533,N,N,NV,NV,2036
NVIE_002910,NVIE_RS01405,flap structure-specific endonuclease,0.46,1.25E-03,274.07,245.8,8.08,7.94,76G-FAM000199,Thaumi_prot_LH_FAM000165,Y,N,NV+NF+NM,NV+NF+NM,533
NVIE_011560,NVIE_RS05580,ammonia monooxygenase subunit C,0.45,2.43E-02,8.23,7.41,3.02,2.88,76G-FAM007583,Thaumi_prot_LH_FAM000259,N,Y,NV+NF+NM,NV+NF+NM,2734
NVIE_001710,#N/A,protein of unknown function,0.45,5.34E-01,6.4,5.79,2.4,2,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2821
NVIE_021080,NVIE_RS10130,Kelch repeat-containing protein,0.45,3.60E-03,176.79,159.33,7.45,7.29,76G-FAM002762,Thaumi_prot_LH_FAM002047,N,N,NV+NF+NM,NV+NF+NM,813
NVIE_020340,NVIE_RS09765,DNA topoisomerase IA,0.45,2.40E-03,40.16,36.3,5.32,5.16,76G-FAM002606,Thaumi_prot_LH_FAM002502,N,N,NV+NF,NV+NF,1939
NVIE_006950,NVIE_RS03370,transcription initiation factor IIB,0.45,2.04E-04,728.15,655.47,9.5,9.36,76G-FAM000279_0,Thaumi_prot_LH_FAM000723_0,Y,N,NV+NF+NM,NV+NF+NM,185
NVIE_006400,NVIE_RS03135,protein of unknown function,0.45,8.44E-02,14.14,12.56,3.73,3.64,76G-FAM035180,Thaumi_prot_LH_FAM008471,N,Y,NV,NV,2535
NVIE_019200,NVIE_RS09310,protein of unknown function,0.45,4.36E-02,14.27,12.76,3.83,3.64,76G-FAM009762,Thaumi_prot_LH_FAM003744,N,Y,NV,NV,2531
NVIE_008860,NVIE_RS04330,putative protein of unknown function DUF2078,0.45,1.65E-01,5.94,5.26,2.51,2.36,76G-FAM003748,Thaumi_prot_LH_FAM003075,N,N,NV,NV,2840
NVIE_028170,NVIE_RS13460,putative 4-oxalocrotonate tautomerase family enzyme,0.45,3.29E-01,5.52,4.92,2.37,2.18,76G-FAM005384,Thaumi_prot_LH_FAM001000,N,Y,NV+NM,NV+NM,2855
NVIE_008940,NVIE_RS04370,protein of unknown function,0.45,1.04E-04,32.89,29.58,5.04,4.88,76G-FAM009177,Thaumi_prot_LH_FAM003498,N,Y,NV+NF,NV+NF,2075
NVIE_003110,NVIE_RS01510,hypothetical protein,0.45,1.59E-05,574.09,517.88,9.16,9.01,76G-FAM007486,Thaumi_prot_LH_FAM001448,N,Y,NV,NV,245
NVIE_013400,NVIE_RS06480,minichromosome maintenance complex protein,0.45,2.73E-06,206.74,186.6,7.69,7.54,76G-FAM000132,Thaumi_prot_LH_FAM000962,Y,N,NV+NF+NM,NV+NF+NM,699
NVIE_015030,NVIE_RS07295,hypothetical protein,0.44,1.19E-01,14.86,13.15,3.79,3.7,76G-FAM008240,Thaumi_prot_LH_FAM003675,N,Y,NV,NV,2515
NVIE_010770,NVIE_RS05205,putative chromosome segregation ATPase,0.44,2.44E-04,164.77,149.57,7.36,7.22,76G-FAM010220,Thaumi_prot_LH_FAM002806,N,Y,NV,NV,868
NVIE_029060,#N/A,protein of unknown function,0.44,6.61E-01,0.88,0.81,#NUM!,-0.55,#N/A,#N/A,#N/A,#N/A,NA,#N/A,3102
NVIE_2094,NVIE_RS15500,conserved protein of unknown function,0.44,1.98E-04,174.55,157.66,7.44,7.3,#N/A,Thaumi_prot_LH_FAM002500,#N/A,#N/A,NA,NV+NF,824
NVIE_026810,NVIE_RS12815,conserved protein of unknown function,0.44,5.96E-01,1.2,1.08,-0.13,-0.08,76G-FAM035402,Thaumi_prot_LH_FAM008750,N,Y,NV,NV,3083
NVIE_006940,NVIE_RS03365,hypothetical protein,0.44,2.62E-08,643.23,579.84,9.33,9.18,76G-FAM010144,Thaumi_prot_LH_FAM002864,N,Y,NV,NV,209
NVIE_011400,NVIE_RS05515,putative signal transduction protein with CBS domains,0.44,1.11E-02,51.05,46.67,5.66,5.52,76G-FAM000773_0,Thaumi_prot_LH_FAM001413_0,N,N,NV+NF+NM,NV+NF+NM,1783
NVIE_027520,NVIE_RS13175,"putative heme/copper-type cytochrome/quinol oxidase, subunit",0.44,3.44E-06,3069.89,2784.62,11.58,11.44,76G-FAM008032,Thaumi_prot_LH_FAM001144,Y,Y,NV+NF+NM,NV+NF+NM,31
NVIE_2131,NVIE_RS09985,protein of unknown function,0.44,7.77E-03,42.68,38.71,5.39,5.25,76G-FAM009672,Thaumi_prot_LH_FAM003770,N,Y,NV,NV,1906
NVIE_011110,NVIE_RS05375,putative asparagine synthetase,0.44,2.73E-04,899.85,821.58,9.81,9.67,76G-FAM007479,Thaumi_prot_LH_FAM003109,N,Y,NV+NF,NV+NF,136
NVIE_019060,NVIE_RS09250,exported protein of unknown function,0.44,1.87E-03,42.97,38.96,5.42,5.27,76G-FAM010407,Thaumi_prot_LH_FAM008603,N,Y,NV,NV,1902
NVIE_025520,NVIE_RS12205,AAA-type ATPase domain-containing putative archaeal cell division protein Vps4 (cdvC),0.44,1.20E-05,635.94,577.13,9.31,9.17,76G-FAM000165_1,Thaumi_prot_LH_FAM000446,Y,N,NV+NF+NM,NV+NF+NM,214
NVIE_010430,NVIE_RS05045,protein of unknown function,0.44,3.01E-01,5.67,5.18,2.45,2.26,76G-FAM009834,Thaumi_prot_LH_FAM003003,N,Y,NV,NV,2846
NVIE_024550,NVIE_RS11770,conserved protein of unknown function,0.44,3.65E-03,194.61,176.26,7.58,7.45,76G-FAM004988,Thaumi_prot_LH_FAM003091,N,Y,NV+NF,NV+NF,734
NVIE_027390,NVIE_RS13115,protein of unknown function,0.44,3.22E-03,18.02,16.33,4.16,4.01,76G-FAM002562,Thaumi_prot_LH_FAM003847,N,N,NV,NV,2415
NVIE_018960,NVIE_RS09210,monovalent cation/proton antiporter-2 family protein,0.44,5.18E-03,237.83,216.78,7.87,7.76,76G-FAM008218,Thaumi_prot_LH_FAM000602,N,Y,NV+NF+NM,NV+NF+NM,612
NVIE_0290,#N/A,fragment/protein of unknown function,0.44,4.72E-01,6.78,6.13,2.65,2.38,#N/A,#N/A,#N/A,#N/A,NA,#N/A,2803
