Old_Locus,Locus,Info,log2FC,padj,TPM_BF,TPM_Ctrl,log2TPM_BF,log2TPM_Ctrl,protein_fam,Protein Family LH,AOA conserved,AOA exclusive,"Conserved NV,NF,NM",Conserved in Soil Strains,up in:,,,,,,,,,baseMean,lfcSE,stat,pvalue
NMAR_RS01860,Nmar_0350,hypothetical protein,-0.49,0.069270446,10.18145382,20.38038756,3.31,4.308968708,76G-FAM008115,Thaumi_prot_LH_FAM000866,N,Y,,,,,,,,,,,,315.764859,0.217463539,-2.245368697,0.024744473
NMAR_RS01865,Nmar_0351,tetratricopeptide repeat protein,1.08,0.000201448,7.846020361,5.167715565,2.85,2.261601869,76G-FAM008577,Thaumi_prot_LH_FAM001858,N,Y,,,,,,,,,,,,203.8561463,0.256601626,4.202405826,2.64E-05
NMAR_RS01870,Nmar_0352,ribosomal L7Ae/L30e/S12e/Gadd45 family protein,-0.45,0.115858639,129.2186337,255.1314075,6.96,7.969421397,76G-FAM000347,Thaumi_prot_LH_FAM000294,Y,N,,,,,,,,,,,,1166.292637,0.224741882,-1.987234326,0.046896436
NMAR_RS01875,Nmar_0353,NusA-like transcription termination signal-binding factor,-0.48,0.039264549,25.60091593,51.8945424,4.64,5.657343629,76G-FAM000348,Thaumi_prot_LH_FAM000293,Y,N,,,,,,,,,,,,331.0144308,0.190748256,-2.508324787,0.012130511
NMAR_RS01880,Nmar_0354,30S ribosomal protein S12,-0.14,0.575397143,65.57585085,100.4352941,5.94,6.620502059,76G-FAM000349,Thaumi_prot_LH_FAM000292,Y,N,,,,,,,,,,,,650.0486216,0.171836665,-0.824563215,0.409619613
NMAR_RS01885,Nmar_0355,30S ribosomal protein S7,-0.27,0.090223773,149.4214142,254.5756858,7.17,7.97323991,76G-FAM000350,Thaumi_prot_LH_FAM000291,Y,N,,,,,,,,,,,,2342.126543,0.12814765,-2.119866605,0.034017296
NMAR_RS01890,Nmar_R0016,tRNA-Gln,0.21,0.802500775,14.15888449,9.951546501,3.55,#NUM!,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,28.35553706,0.530160394,0.395143874,0.692736711
NMAR_RS01895,Nmar_0356,hypothetical protein,0.04,0.967641627,4.559670436,3.712630119,1.93,1.855746518,76G-FAM007459,Thaumi_prot_LH_FAM001260,N,Y,,,,,,,,,,,,16.91325631,0.620998397,0.064633511,0.948465802
NMAR_RS01900,Nmar_0357,YkgJ family cysteine cluster protein,0.32,0.225555525,14.08476998,15.39607563,3.71,3.922354897,76G-FAM008213,Thaumi_prot_LH_FAM000290,N,Y,,,,,,,,,,,,185.0888908,0.198946928,1.59807141,0.110027086
NMAR_RS01905,Nmar_0358,GNAT family N-acetyltransferase,0.91,0.373245776,2.605349356,2.242866629,1.06,1.11086177,76G-FAM008358,Thaumi_prot_LH_FAM001859,N,Y,,,,,,,,,,,,12.60399478,0.735113268,1.235649818,0.216588758
NMAR_RS01910,Nmar_0359,NAD(P)/FAD-dependent oxidoreductase,-0.21,0.313854564,28.18689445,44.33900951,4.78,5.440707491,76G-FAM000913,Thaumi_prot_LH_FAM000167,Y,N,,,,,,,,,,,,689.847221,0.149302516,-1.373607728,0.169563496
NMAR_RS01915,Nmar_0360,nitroreductase family protein,0.89,8.37E-08,69.53221005,51.77491111,6.05,5.67459836,76G-FAM008578,Thaumi_prot_LH_FAM001860,N,Y,,,,,,,,,,,,673.9423096,0.152702682,5.812096829,6.17E-09
NMAR_RS01920,Nmar_0361,hypothetical protein,0.2,0.691812829,15.17736231,16.88590072,3.85,4.007824773,76G-FAM008579,Thaumi_prot_LH_FAM001861,N,Y,,,,,,,,,,,,69.64916527,0.328874814,0.599649652,0.548739749
NMAR_RS01925,0,hypothetical protein,0.51,0.145632627,25.811642,23.44916621,4.55,4.511044894,#N/A,Thaumi_prot_LH_FAM001862,#N/A,#N/A,,,,,,,,,,,,84.49017431,0.274298125,1.860418986,0.062826271
NMAR_RS01930,Nmar_0362,hypothetical protein,-0.74,0.558052855,2.877557268,3.415389489,1.41,1.395721875,76G-FAM008438,Thaumi_prot_LH_FAM001863,N,Y,,,,,,,,,,,,9.812757327,0.868429818,-0.857826915,0.390988045
NMAR_RS01935,0,hypothetical protein,0.04,0.921453369,41.20472916,47.71893349,5.31,5.572413843,#N/A,Thaumi_prot_LH_FAM001864,#N/A,#N/A,,,,,,,,,,,,184.0225801,0.249709146,0.153620365,0.877909079
NMAR_RS01940,Nmar_0363,hypothetical protein,2.09,5.59E-50,3717.190129,1297.10572,11.85,10.32765828,76G-FAM008887,Thaumi_prot_LH_FAM001865,N,Y,,,,,,,,,,,,77203.30163,0.137524331,15.16264175,6.25E-52
NMAR_RS09645,0,hypothetical protein,-0.35,0.690675233,7.854530168,13.2591525,2.74,3.530215031,#N/A,Thaumi_prot_LH_FAM001866,#N/A,#N/A,,,,,,,,,,,,26.68375356,0.588234631,-0.601674049,0.547391128
NMAR_RS01945,0,hypothetical protein,-0.79,0.295251476,3.225686234,8.174295098,1.38,2.894557184,#N/A,Thaumi_prot_LH_FAM001867,#N/A,#N/A,,,,,,,,,,,,19.91917413,0.558524697,-1.421480922,0.155176996
NMAR_RS09915,0,hypothetical protein,-0.05,0.932200183,13.29190349,22.65475028,3.38,4.434613786,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,76.19123083,0.363510324,-0.132220119,0.894810188
NMAR_RS09980,0,hypothetical protein,-0.51,0.663786395,5.064817079,10.41621525,1.99,3.208825045,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,12.97965443,0.786330619,-0.651095496,0.514984844
NMAR_RS01955,Nmar_0364,hypothetical protein,-0.09,0.82922291,11.27081626,16.1537653,3.43,3.98824054,76G-FAM008378,Thaumi_prot_LH_FAM001868,N,Y,,,,,,,,,,,,130.1697975,0.25365712,-0.342526578,0.731954646
NMAR_RS01960,0,hypothetical protein,1.02,0.180249681,5.400701142,4.119445553,1.89,2.009799745,#N/A,Thaumi_prot_LH_FAM001869,#N/A,#N/A,,,,,,,,,,,,31.92376108,0.587590975,1.735713886,0.082614437
NMAR_RS09920,Nmar_0365,hypothetical protein,0.09,0.898267287,10.04442471,12.54642858,3.11,3.590006426,76G-FAM007812,#N/A,N,Y,,,,,,,,,,,,64.98662801,0.455608011,0.207976866,0.83524703
NMAR_RS01970,Nmar_0366,uracil-DNA glycosylase,-0.04,0.911489583,11.11686445,16.5706686,3.45,4.036416296,76G-FAM000950_0,Thaumi_prot_LH_FAM001095,Y,N,,,,,,,,,,,,165.5718442,0.218325806,-0.172147673,0.863321435
NMAR_RS01975,Nmar_0367,leucine--tRNA ligase,-0.31,0.086120422,12.98912822,21.55438163,3.6,4.429138705,76G-FAM000888,Thaumi_prot_LH_FAM000675,N,N,,,,,,,,,,,,901.2744891,0.143238456,-2.142368048,0.032163877
NMAR_RS01980,Nmar_0368,alanine--tRNA ligase,-0.14,0.644103897,9.626235576,13.44106246,3.07,3.741594005,76G-FAM000638,Thaumi_prot_LH_FAM000674,Y,N,,,,,,,,,,,,536.8493361,0.201656679,-0.686747271,0.492242003
NMAR_RS01985,Nmar_0369,alcohol dehydrogenase catalytic domain-containing protein,0.44,0.041202837,18.39819328,18.67866857,4.11,4.21426854,76G-FAM000733_0,Thaumi_prot_LH_FAM001870,Y,N,,,,,,,,,,,,330.1524653,0.178651858,2.485452211,0.012938696
NMAR_RS01990,Nmar_0370,DUF6659 family protein,0.51,0.123588879,14.87540401,13.25885307,3.86,3.672281669,76G-FAM003537_0,Thaumi_prot_LH_FAM000040_0,Y,N,,,,,,,,,,,,132.8085935,0.263624911,1.95259694,0.050867374
NMAR_RS01995,Nmar_0371,PQQ-dependent sugar dehydrogenase,0.1,0.646650516,14.44767554,17.88864451,3.81,4.154294781,76G-FAM001543,Thaumi_prot_LH_FAM001174,Y,Y,,,,,,,,,,,,355.1304674,0.141686424,0.681171586,0.495762925
NMAR_RS02000,Nmar_0372,HAMP domain-containing sensor histidine kinase,-0.35,0.153767471,7.514392993,13.06662445,2.8,3.670562744,76G-FAM008888,Thaumi_prot_LH_FAM001701,N,Y,,,,,,,,,,,,284.4156997,0.193139869,-1.827028491,0.067695486
NMAR_RS02005,Nmar_0373,hypothetical protein,0.74,2.00E-06,258.6371192,222.2829197,7.97,7.781818148,76G-FAM007414,Thaumi_prot_LH_FAM000673,Y,Y,,,,,,,,,,,,2316.772229,0.141102478,5.224420444,1.75E-07
NMAR_RS02010,Nmar_0374,50S ribosomal protein P1,0.49,0.082656939,847.8080911,906.8409964,9.72,9.747916443,76G-FAM000639,Thaumi_prot_LH_FAM000669,Y,N,,,,,,,,,,,,5473.934548,0.225226076,2.161997771,0.030618348
NMAR_RS02015,Nmar_0375,trimeric intracellular cation channel family protein,0.98,0.002362783,37.06556159,27.12452395,5.17,4.695815146,76G-FAM005922,Thaumi_prot_LH_FAM001261,N,Y,,,,,,,,,,,,339.2627312,0.277620854,3.519588771,0.000432216
NMAR_RS02020,Nmar_0376,response regulator,-0.06,0.937740931,9.455412588,5.471279326,2.89,2.373295289,76G-FAM003595_0,Thaumi_prot_LH_FAM001253_0,N,N,,,,,,,,,,,,24.22041018,0.490092589,-0.12220124,0.902739644
NMAR_RS02025,Nmar_0377,hypothetical protein,2.92,1.32E-131,345.9449311,65.81292353,8.42,6.030127586,76G-FAM008746,Thaumi_prot_LH_FAM001871,N,Y,,,,,,,,,,,,3697.209911,0.11840497,24.69090865,1.34E-134
NMAR_RS02030,Nmar_0378,hypothetical protein,-0.43,0.712913113,3.227737645,6.081838756,#NUM!,2.369387183,76G-FAM008633,Thaumi_prot_LH_FAM001872,N,Y,,,,,,,,,,,,18.50865209,0.768960664,-0.561388649,0.57453262
NMAR_RS02035,Nmar_0379,hypothetical protein,0.99,0.039716098,13.766793,11.8458165,3.73,3.49988318,76G-FAM008889,Thaumi_prot_LH_FAM001873,N,Y,,,,,,,,,,,,102.9360278,0.39672065,2.502540351,0.012330557
NMAR_RS02040,Nmar_0380,hypothetical protein,-0.28,0.248747078,11.08323832,17.39131003,3.42,4.109522738,76G-FAM008745,Thaumi_prot_LH_FAM001874,N,Y,,,,,,,,,,,,255.6502602,0.18303313,-1.531022251,0.125763893
NMAR_RS02045,Nmar_0381,50S ribosomal protein L10,0,0.9860422,158.2468715,226.273804,7.26,7.796843564,76G-FAM000093,Thaumi_prot_LH_FAM000671,Y,N,,,,,,,,,,,,3053.090511,0.124780017,0.031941964,0.974518333
NMAR_RS02050,Nmar_0382,50S ribosomal protein L1,-0.15,0.358187891,270.3681633,418.24488,8.02,8.702575479,76G-FAM000981,Thaumi_prot_LH_FAM000672,Y,N,,,,,,,,,,,,4294.195959,0.116339013,-1.269645935,0.204210779
NMAR_RS02055,Nmar_0383,Lrp/AsnC family transcriptional regulator,-0.31,0.068502937,42.36489965,73.27806627,5.35,6.185081854,76G-FAM000103_1,Thaumi_prot_LH_FAM000222,Y,N,,,,,,,,,,,,560.4741028,0.138181766,-2.250211875,0.024435499
NMAR_RS09985,0,hypothetical protein,0.54,0.1133273,52.57443781,51.2838651,5.65,5.601942167,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,120.2873947,0.268121946,2.002213095,0.045261818
NMAR_RS09650,Nmar_0384,hypothetical protein,0.68,0.341610634,12.1329648,9.661365876,3.29,3.227300396,76G-FAM008890,Thaumi_prot_LH_FAM001875,N,Y,,,,,,,,,,,,22.43079815,0.518330281,1.3088247,0.190593738
NMAR_RS02060,0,hypothetical protein,0.72,0.305290326,13.54965814,11.5796785,3.49,3.412578289,#N/A,Thaumi_prot_LH_FAM001876,#N/A,#N/A,,,,,,,,,,,,23.60806667,0.518309462,1.392356992,0.163814321
NMAR_RS02065,Nmar_0385,50S ribosomal protein L11,0.17,0.363959045,202.1403127,245.9037431,7.57,7.932557621,76G-FAM000980,Thaumi_prot_LH_FAM000221,Y,N,,,,,,,,,,,,2031.402792,0.138886968,1.257394908,0.208610672
NMAR_RS02070,Nmar_0386,transcription elongation factor Spt5,-0.13,0.609652936,32.82584917,47.69464705,4.96,5.568500309,76G-FAM000979,Thaumi_prot_LH_FAM000220,Y,N,,,,,,,,,,,,331.8566369,0.172042591,-0.758843448,0.447946212
NMAR_RS02075,Nmar_1800,protein translocase SEC61 complex subunit gamma,-0.22,0.2957588,84.5284551,132.3117865,6.36,7.039167478,76G-FAM000978,Thaumi_prot_LH_FAM000219,N,N,,,,,,,,,,,,298.5878871,0.154200202,-1.419187193,0.155844449
NMAR_RS02080,Nmar_0387,D-aminoacyl-tRNA deacylase,0.65,7.18E-05,52.15020906,47.26302569,5.66,5.548192851,76G-FAM000409,Thaumi_prot_LH_FAM000218,Y,N,,,,,,,,,,,,727.3803249,0.145881636,4.451190342,8.54E-06
NMAR_RS02085,Nmar_0388,MGMT family protein,0.21,0.55341781,21.09173711,23.4702189,4.25,4.520974503,76G-FAM003498,Thaumi_prot_LH_FAM000217,Y,N,,,,,,,,,,,,122.9304111,0.247368582,0.866588642,0.386167439
NMAR_RS02090,Nmar_0389,VOC family protein,-0.07,0.812334332,51.78767264,75.94357688,5.58,6.220726383,76G-FAM008197,Thaumi_prot_LH_FAM000676,N,Y,,,,,,,,,,,,477.9632407,0.183160533,-0.374598926,0.707958772
NMAR_RS02095,Nmar_0390,50S ribosomal protein L19e,-0.15,0.58532504,47.26463984,70.4774587,5.49,6.057320716,76G-FAM000581,Thaumi_prot_LH_FAM000216,Y,N,,,,,,,,,,,,550.1165275,0.190070378,-0.802505267,0.422260743
NMAR_RS02100,Nmar_0391,50S ribosomal protein L32e,-0.12,0.456693114,146.5781279,233.7745961,7.15,7.857765454,76G-FAM000617,Thaumi_prot_LH_FAM000215,N,N,,,,,,,,,,,,1432.75521,0.11205434,-1.052376075,0.292627041
NMAR_RS02105,Nmar_0392,phosphoenolpyruvate carboxykinase (ATP),-0.11,0.587934151,99.27996404,149.5530446,6.58,7.222975909,76G-FAM007600,Thaumi_prot_LH_FAM000214,Y,Y,,,,,,,,,,,,3818.560289,0.141192123,-0.795518405,0.426312009
NMAR_RS02110,Nmar_0393,S8 family serine peptidase,-0.09,0.754814883,8.428161612,11.61936772,2.97,3.508746705,76G-FAM007582,Thaumi_prot_LH_FAM001263,N,Y,,,,,,,,,,,,368.2638462,0.193521983,-0.486620362,0.626527391
NMAR_RS02115,Nmar_0394,superoxide dismutase,0.36,0.009562937,1467.770888,1603.60429,10.46,10.63653922,76G-FAM000589,Thaumi_prot_LH_FAM000213,Y,N,,,,,,,,,,,,18086.10038,0.11674722,3.06697754,0.002162351
NMAR_RS02120,Nmar_0395,prefoldin subunit alpha,-0.21,0.355132981,43.99216569,66.23075981,5.38,6.019381496,76G-FAM002450,Thaumi_prot_LH_FAM000211,Y,N,,,,,,,,,,,,457.7505184,0.164927713,-1.277100298,0.20156684
NMAR_RS02125,Nmar_0396,signal recognition particle-docking protein FtsY,0.26,0.355132981,6.078426356,6.982630454,2.54,2.795122931,76G-FAM000935,Thaumi_prot_LH_FAM000210,N,N,,,,,,,,,,,,183.9196253,0.200539623,1.27729802,0.201497052
NMAR_RS02130,Nmar_0397,ornithine carbamoyltransferase,-0.37,0.031841119,30.80637002,55.90878585,4.93,5.798724083,76G-FAM000126_1,Thaumi_prot_LH_FAM000209,N,N,,,,,,,,,,,,731.6173551,0.142581092,-2.598328223,0.00936789
NMAR_RS02135,Nmar_0398,50S ribosomal protein L18,-0.07,0.651950458,263.6028597,377.1988119,7.97,8.55647123,76G-FAM000618,Thaumi_prot_LH_FAM000208,Y,N,,,,,,,,,,,,2890.262636,0.10517953,-0.671739677,0.501749437
NMAR_RS02140,Nmar_0399,30S ribosomal protein S5,0.23,0.286068793,53.78006764,65.44222885,5.66,6.004852779,76G-FAM000582,Thaumi_prot_LH_FAM000207,Y,N,,,,,,,,,,,,766.1869386,0.159525187,1.441546879,0.149430243
NMAR_RS02145,Nmar_0400,50S ribosomal protein L30,-0.09,0.605876364,122.6173416,186.886716,6.88,7.536853331,76G-FAM000619,Thaumi_prot_LH_FAM000206,Y,N,,,,,,,,,,,,1280.969525,0.115872465,-0.766074403,0.443632032
NMAR_RS02150,Nmar_0401,uL15 family ribosomal protein,-0.19,0.248747078,287.7476425,462.7508753,8.13,8.85085743,76G-FAM000227,Thaumi_prot_LH_FAM000205,Y,N,,,,,,,,,,,,3290.711468,0.12197754,-1.531099121,0.125744897
NMAR_RS02155,Nmar_0402,preprotein translocase subunit SecY,0.07,0.747182933,267.3217438,368.9473498,8.05,8.519210677,76G-FAM000208,Thaumi_prot_LH_FAM000204,N,N,,,,,,,,,,,,8449.554328,0.134164455,0.503945338,0.614299789
NMAR_RS02160,Nmar_0403,adenylate kinase,-0.59,0.0001021,50.98848929,110.5619744,5.63,6.776090597,76G-FAM000840,Thaumi_prot_LH_FAM000203,Y,N,,,,,,,,,,,,833.5396538,0.13581126,-4.369534282,1.25E-05
NMAR_RS02165,Nmar_0404,EMC3/TMCO1 family protein,-0.34,0.014074758,99.05443555,179.0456798,6.59,7.480230276,76G-FAM007431,Thaumi_prot_LH_FAM000202,Y,Y,,,,,,,,,,,,1620.766159,0.116238447,-2.923475455,0.003461475
NMAR_RS02170,Nmar_0405,cytidylate kinase family protein,-0.51,0.125313533,7.719948076,15.14092539,2.89,3.879042965,76G-FAM000217,Thaumi_prot_LH_FAM000201,Y,N,,,,,,,,,,,,113.6291203,0.262508117,-1.943871189,0.051910986
NMAR_RS02175,Nmar_0406,RNA-guided pseudouridylation complex pseudouridine synthase subunit Cbf5,-0.19,0.341704368,22.44512183,35.51506844,4.42,5.130092718,76G-FAM000021,Thaumi_prot_LH_FAM000200,Y,N,,,,,,,,,,,,535.0166033,0.147450341,-1.308158176,0.190819665
NMAR_RS02180,Nmar_0407,hypothetical protein,-0.19,0.703312258,7.826251068,12.40338815,2.81,3.620064944,76G-FAM008281,Thaumi_prot_LH_FAM000199,N,Y,,,,,,,,,,,,78.12583985,0.318144518,-0.58166323,0.560793544
NMAR_RS02185,Nmar_R0017,tRNA-Ser,1.18,0.011182431,28.89797175,18.40616946,4.78,4.069770389,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,46.279697,0.392686927,3.009188931,0.002619462
NMAR_RS09655,0,hypothetical protein,0.42,0.805710892,2.735006925,3.471572086,#NUM!,1.493835493,#N/A,Thaumi_prot_LH_FAM001852,#N/A,#N/A,,,,,,,,,,,,6.712184578,1.074519551,0.386312361,0.699265347
NMAR_RS02190,Nmar_0408,DM13 domain-containing protein,0.32,0.43922758,9.060312144,8.888910123,3.08,3.128015989,76G-FAM008737,Thaumi_prot_LH_FAM001877,N,Y,,,,,,,,,,,,77.45291094,0.289900414,1.08850912,0.276370413
NMAR_RS02195,Nmar_0409,FAD-dependent oxidoreductase,0.39,0.080204501,11.97723358,12.16756706,3.54,3.57806883,76G-FAM002447,Thaumi_prot_LH_FAM000197,N,N,,,,,,,,,,,,332.4853382,0.178531013,2.177750476,0.029424619
NMAR_RS02200,Nmar_0410,hypothetical protein,-0.5,0.161225519,9.278099554,18.64338107,3.2,4.207388847,76G-FAM007642,Thaumi_prot_LH_FAM000196,Y,Y,,,,,,,,,,,,73.59786298,0.277070782,-1.796466186,0.072420406
NMAR_RS02205,Nmar_0411,ChuX/HutX family heme-like substrate-binding protein,0.05,0.949371388,10.43639366,16.19672957,3.31,3.905701851,76G-FAM008282,Thaumi_prot_LH_FAM000195,N,Y,,,,,,,,,,,,46.35063031,0.474270793,0.09807297,0.921874351
NMAR_RS02210,Nmar_0412,D-glycerate dehydrogenase,-0.69,0.162862312,2.710954016,5.426826715,1.3,2.299548413,76G-FAM000168_0,Thaumi_prot_LH_FAM000194,Y,N,,,,,,,,,,,,63.95706708,0.386371334,-1.790826494,0.073321142
NMAR_RS09660,0,hypothetical protein,0.73,0.18698058,16.23954162,13.84791155,3.83,3.721100532,#N/A,Thaumi_prot_LH_FAM000193,#N/A,#N/A,,,,,,,,,,,,46.09050072,0.42686259,1.712826042,0.086744548
NMAR_RS02215,Nmar_0413,2-oxoacid:ferredoxin oxidoreductase subunit alpha,-0.16,0.266503203,34.38084126,52.78441139,5.04,5.717741408,76G-FAM000603,Thaumi_prot_LH_FAM000192,Y,N,,,,,,,,,,,,1531.21782,0.108639156,-1.49027848,0.136151028
NMAR_RS02220,Nmar_0414,2-oxoacid:ferredoxin oxidoreductase subunit beta,0.21,0.275697518,43.02081743,53.7781635,5.39,5.739680991,76G-FAM000602,Thaumi_prot_LH_FAM000191,N,N,,,,,,,,,,,,866.1551589,0.141200212,1.466161075,0.14260441
NMAR_RS02225,Nmar_0415,hypothetical protein,-0.31,0.375281266,12.89531596,20.69502957,3.58,4.36348888,76G-FAM007845,Thaumi_prot_LH_FAM000190,N,Y,,,,,,,,,,,,161.331643,0.248549558,-1.230955235,0.218339607
NMAR_RS02230,Nmar_0416,hypothetical protein,0.74,0.181688975,5.013606822,4.193317584,2.2,1.990409714,76G-FAM008216,Thaumi_prot_LH_FAM000189,N,Y,,,,,,,,,,,,45.02876148,0.424747862,1.731478618,0.083366435
NMAR_RS02235,Nmar_0417,hypothetical protein,0.64,0.002242561,68.69564989,62.96317102,6.08,5.929782512,76G-FAM004944,Thaumi_prot_LH_FAM001810,N,Y,,,,,,,,,,,,616.9143066,0.181592735,3.536369737,0.000405667
NMAR_RS02240,Nmar_0418,hypothetical protein,-0.68,0.001189333,24.78873781,38.97313094,4.54,5.27628287,76G-FAM007568,Thaumi_prot_LH_FAM000188,Y,Y,,,,,,,,,,,,337.8351046,0.183560579,-3.722042338,0.000197618
NMAR_RS02245,Nmar_0419,coenzyme F420-0:L-glutamate ligase,0.43,0.153672697,8.981926611,9.281946801,3.06,3.174653773,76G-FAM000546_0,Thaumi_prot_LH_FAM000187,Y,N,,,,,,,,,,,,129.2386125,0.236570229,1.828556581,0.067466062
NMAR_RS02250,Nmar_0420,3-isopropylmalate dehydratase large subunit,0.59,4.85E-06,107.1611397,101.3070751,6.71,6.658236303,76G-FAM000986,Thaumi_prot_LH_FAM000823,Y,N,,,,,,,,,,,,2509.500527,0.116675285,5.044965763,4.54E-07
NMAR_RS02255,Nmar_0421,3-isopropylmalate dehydratase small subunit,0.48,0.016063304,43.68810244,42.52199105,5.39,5.409062197,76G-FAM000987_0,Thaumi_prot_LH_FAM000824,Y,N,,,,,,,,,,,,398.7306313,0.166263107,2.870948828,0.004092418
NMAR_RS02260,Nmar_0422,3-isopropylmalate dehydratase large subunit,0.05,0.763786814,29.13182654,37.35804027,4.8,5.209894608,76G-FAM000986,Thaumi_prot_LH_FAM000823,Y,N,,,,,,,,,,,,839.6425345,0.117468497,0.465564532,0.641527235
NMAR_RS02265,Nmar_0423,3-isopropylmalate dehydratase small subunit,-0.46,0.19981349,9.868934583,14.40297935,3.12,3.834628936,76G-FAM000987_0,Thaumi_prot_LH_FAM000824,Y,N,,,,,,,,,,,,125.5357237,0.274653689,-1.674056662,0.094119464
NMAR_RS02270,Nmar_0424,nucleotidyltransferase family protein,0.68,0.03770859,9.759359321,8.540904992,3.28,3.061766291,76G-FAM000731_0,Thaumi_prot_LH_FAM000286,Y,N,,,,,,,,,,,,130.683423,0.268816552,2.524898689,0.011573165
NMAR_RS02275,Nmar_0425,30S ribosomal protein S9,-0.29,0.471407337,25.28086687,45.66780634,4.49,5.441961139,76G-FAM000440,Thaumi_prot_LH_FAM000825,Y,N,,,,,,,,,,,,285.9170206,0.28489962,-1.021696682,0.306924482
NMAR_RS02280,Nmar_0426,50S ribosomal protein L13,-0.56,0.025658112,45.53267105,91.96563088,5.42,6.443110467,76G-FAM000465,Thaumi_prot_LH_FAM000826,Y,N,,,,,,,,,,,,595.3939711,0.207614037,-2.689198251,0.007162387
NMAR_RS02285,Nmar_0427,50S ribosomal protein L18e,-0.08,0.724904161,139.2066474,207.1305161,7.06,7.653459549,76G-FAM000441,Thaumi_prot_LH_FAM000827,Y,N,,,,,,,,,,,,1137.066521,0.151605349,-0.539773889,0.589352976
NMAR_RS02290,Nmar_0428,DNA-directed RNA polymerase subunit D,-0.03,0.898267287,84.85284972,120.630888,6.36,6.905777751,76G-FAM000442,Thaumi_prot_LH_FAM000854,Y,N,,,,,,,,,,,,1286.21959,0.130695469,-0.209112116,0.834360716
NMAR_RS02295,Nmar_0429,DUF6659 family protein,-0.4,0.317562483,13.3049434,21.30389872,3.59,4.375515875,76G-FAM003537_0,Thaumi_prot_LH_FAM000040_0,Y,N,,,,,,,,,,,,111.5030149,0.291199636,-1.364343938,0.172459343
NMAR_RS02300,Nmar_0430,ribosome assembly factor SBDS,0.31,0.123279672,206.3621131,241.8389952,7.65,7.887034262,76G-FAM000512,Thaumi_prot_LH_FAM000853,Y,N,,,,,,,,,,,,2944.294209,0.157004575,1.955628316,0.050508955
NMAR_RS02305,Nmar_0431,exosome complex RNA-binding protein Rrp4,0.2,0.186255215,187.7990167,229.9412499,7.49,7.839327904,76G-FAM000511,Thaumi_prot_LH_FAM000852,N,N,,,,,,,,,,,,2588.097154,0.116857392,1.715173662,0.086313392
NMAR_RS02310,Nmar_0432,exosome complex exonuclease Rrp41,0.18,0.27156994,120.2936691,149.8407644,6.87,7.215557263,76G-FAM000533,Thaumi_prot_LH_FAM000851,Y,N,,,,,,,,,,,,1883.950949,0.123153346,1.476585567,0.139786763
NMAR_RS02315,Nmar_0433,exosome complex protein Rrp42,-0.03,0.875358091,121.4568707,175.0522992,6.89,7.439151542,76G-FAM000510,Thaumi_prot_LH_FAM000850,Y,N,,,,,,,,,,,,2278.507411,0.115178429,-0.25771193,0.796629238
NMAR_RS02320,Nmar_0434,50S ribosomal protein L37,-0.34,0.484235091,14.72188883,24.67648343,3.79,4.548458105,76G-FAM000509,Thaumi_prot_LH_FAM000849,N,N,,,,,,,,,,,,97.71188723,0.345725836,-0.992702495,0.320854959
NMAR_RS02325,Nmar_0435,KEOPS complex subunit Pcc1,-0.1,0.802500775,23.45021517,38.5404423,4.5,5.235555471,76G-FAM000508,Thaumi_prot_LH_FAM001272,N,Y,,,,,,,,,,,,127.4502589,0.242828254,-0.393388337,0.694032682
NMAR_RS02330,Nmar_0436,prefoldin subunit beta,-0.45,0.112878379,53.41385252,106.6788619,5.61,6.679143258,76G-FAM000507,Thaumi_prot_LH_FAM000006,Y,N,,,,,,,,,,,,553.775647,0.22687495,-2.00549221,0.044910453
NMAR_RS02335,Nmar_0437,ERCC4 domain-containing protein,0.53,0.054684536,15.08779254,14.0905042,3.8,3.805368086,76G-FAM002011,Thaumi_prot_LH_FAM000008,N,N,,,,,,,,,,,,172.8739727,0.224781037,2.352000128,0.018672769
NMAR_RS02340,Nmar_0438,tetratricopeptide repeat protein,0.24,0.749769798,4.265857429,5.176829395,1.83,2.271687959,76G-FAM008736,Thaumi_prot_LH_FAM001406,N,Y,,,,,,,,,,,,37.61051099,0.488427993,0.498757098,0.617950515
NMAR_RS02345,Nmar_0439,nucleotide-binding protein,-0.54,0.387849823,3.693523996,8.451581262,1.75,3.025352491,76G-FAM000744,Thaumi_prot_LH_FAM000009,N,N,,,,,,,,,,,,53.41888059,0.450715754,-1.201385657,0.229601637
NMAR_RS02350,Nmar_0440,NAD(+)/NADH kinase,-0.54,0.090805825,11.0958605,24.03348316,3.39,4.573820369,76G-FAM002988,Thaumi_prot_LH_FAM000746,Y,N,,,,,,,,,,,,270.2567531,0.256859952,-2.116140197,0.034332886
NMAR_RS02355,Nmar_0441,sulfurtransferase,0.12,0.50208322,417.0285558,542.8119035,8.68,9.082387802,76G-FAM001528_0,Thaumi_prot_LH_FAM000233_0,Y,N,,,,,,,,,,,,7679.28694,0.12901254,0.96014581,0.336981835
